file,latitude,longitude,elevation,K_percent,U_ppm,Th_ppm,K_from_PADK,K_from_PADU,K_from_PADTh,U_from_PADK,U_from_PADU,U_from_PADTh,Th_from_PADK,Th_from_PADU,Th_from_PADTh,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000131.spc,53.2693270000,-9.0517480000,56.0,5.088,27.804,68.105,3.7838,0.7430,0.5611,0.7623,25.9541,1.0879,1.4030,2.8069,63.8953,0.5524,0.6350,0.5726,1.0000
spect_000132.spc,53.2629770000,-9.0473460000,50.5,4.767,28.151,66.125,3.4669,0.7557,0.5444,0.6984,26.3971,1.0554,1.2855,2.8548,61.9850,0.5061,0.6459,0.5555,1.0000
spect_000133.spc,53.2641750000,-9.0487380000,37.9,5.296,27.315,73.704,3.9600,0.7253,0.6103,0.7978,25.3342,1.1833,1.4684,2.7398,69.4958,0.5781,0.6199,0.6228,1.0000
spect_000134.spc,53.2751010000,-9.0439460000,55.7,5.142,27.289,67.985,3.8536,0.7279,0.5604,0.7764,25.4266,1.0864,1.4289,2.7498,63.8060,0.5626,0.6221,0.5718,0.9999
spect_000135.spc,53.2745430000,-9.0521990000,37.5,4.880,29.500,67.624,3.5302,0.7933,0.5561,0.7112,27.7103,1.0781,1.3090,2.9968,63.3179,0.5154,0.6780,0.5674,0.9999
spect_000136.spc,53.2628060000,-9.0530020000,44.6,4.762,30.189,76.924,3.3143,0.8097,0.6379,0.6677,28.2848,1.2367,1.2290,3.0589,72.6361,0.4838,0.6921,0.6509,1.0000
spect_000137.spc,53.2755210000,-9.0591550000,64.3,5.127,29.848,68.041,3.7665,0.8017,0.5587,0.7588,28.0060,1.0832,1.3966,3.0288,63.6151,0.5499,0.6852,0.5701,0.9999
spect_000138.spc,53.2770230000,-9.0403890000,60.9,4.962,30.149,73.902,3.5428,0.8088,0.6106,0.7137,28.2512,1.1839,1.3137,3.0553,69.5329,0.5172,0.6912,0.6231,0.9999
spect_000139.spc,53.2675960000,-9.0517600000,44.0,5.078,27.849,67.983,3.7733,0.7444,0.5601,0.7602,26.0026,1.0858,1.3992,2.8121,63.7721,0.5508,0.6362,0.5715,1.0000
spect_000140.spc,53.2607770000,-9.0576820000,35.6,5.284,29.428,75.936,3.8709,0.7853,0.6282,0.7798,27.4306,1.2180,1.4353,2.9666,71.5344,0.5651,0.6712,0.6410,1.0000
spect_000141.spc,53.2718470000,-9.0594790000,63.2,5.363,29.533,69.745,3.9993,0.7906,0.5733,0.8057,27.6159,1.1114,1.4829,2.9866,65.2750,0.5838,0.6757,0.5850,0.9998
spect_000142.spc,53.2703190000,-9.0577550000,62.8,5.366,27.661,70.750,4.0459,0.7361,0.5837,0.8151,25.7141,1.1317,1.5002,2.7809,66.4687,0.5906,0.6292,0.5957,0.9999
spect_000143.spc,53.2762660000,-9.0527210000,59.0,4.574,27.445,67.928,3.2770,0.7356,0.5615,0.6602,25.6962,1.0886,1.2151,2.7790,63.9339,0.4784,0.6287,0.5729,0.9999
spect_000144.spc,53.2784210000,-9.0408220000,58.6,5.034,28.467,69.496,3.6993,0.7618,0.5730,0.7453,26.6107,1.1109,1.3717,2.8779,65.2468,0.5400,0.6511,0.5847,1.0000
spect_000145.spc,53.2669200000,-9.0583480000,35.3,5.072,27.775,74.041,3.7183,0.7396,0.6136,0.7491,25.8367,1.1896,1.3788,2.7942,69.8685,0.5428,0.6322,0.6261,0.9999
spect_000146.spc,53.2655720000,-9.0532620000,55.9,4.942,30.230,70.230,3.5506,0.8128,0.5782,0.7153,28.3940,1.1211,1.3166,3.0707,65.8426,0.5183,0.6947,0.5900,0.9998
spect_000147.spc,53.2726660000,-9.0424430000,53.9,4.838,29.304,71.091,3.4647,0.7863,0.5870,0.6980,27.4681,1.1380,1.2847,2.9706,66.8357,0.5058,0.6721,0.5989,1.0000
spect_000148.spc,53.2653960000,-9.0591270000,61.8,4.525,28.453,72.403,3.1619,0.7630,0.6002,0.6370,26.6520,1.1637,1.1724,2.8824,68.3480,0.4616,0.6521,0.6125,0.9999
spect_000149.spc,53.2691830000,-9.0407430000,47.2,4.933,28.002,64.026,3.6562,0.7514,0.5254,0.7366,26.2469,1.0187,1.3557,2.8385,59.8315,0.5337,0.6422,0.5362,1.0000
spect_000150.spc,53.2753240000,-9.0449080000,60.0,4.683,27.821,67.396,3.3813,0.7461,0.5561,0.6812,26.0616,1.0782,1.2538,2.8185,63.3242,0.4936,0.6377,0.5675,0.9999
spect_000151.spc,53.2643880000,-9.0504340000,39.0,5.080,29.064,67.901,3.7426,0.7795,0.5583,0.7540,27.2280,1.0824,1.3877,2.9446,63.5683,0.5464,0.6662,0.5697,1.0000
spect_000152.spc,53.2799800000,-9.0450630000,47.9,5.070,29.131,64.484,3.7589,0.7829,0.5281,0.7573,27.3497,1.0239,1.3938,2.9578,60.1326,0.5487,0.6692,0.5389,0.9999
spect_000153.spc,53.2791250000,-9.0433940000,37.5,4.952,28.849,68.369,3.6149,0.7738,0.5630,0.7283,27.0295,1.0915,1.3404,2.9232,64.1053,0.5277,0.6614,0.5745,0.9999
spect_000154.spc,53.2617700000,-9.0410200000,43.5,5.061,29.393,69.219,3.7030,0.7885,0.5697,0.7460,27.5422,1.1045,1.3731,2.9786,64.8670,0.5406,0.6739,0.5813,1.0000
spect_000155.spc,53.2633380000,-9.0488150000,43.8,5.389,29.004,65.033,4.0800,0.7772,0.5321,0.8219,27.1502,1.0315,1.5129,2.9362,60.5834,0.5956,0.6643,0.5429,0.9999
spect_000156.spc,53.2737330000,-9.0590230000,35.3,5.217,28.787,65.857,3.9055,0.7716,0.5400,0.7868,26.9536,1.0470,1.4482,2.9150,61.4938,0.5701,0.6595,0.5511,1.0000
spect_000157.spc,53.2671450000,-9.0436790000,36.0,4.649,30.141,69.721,3.2617,0.8121,0.5747,0.6571,28.3692,1.1143,1.2095,3.0681,65.4436,0.4762,0.6941,0.5865,0.9999
spect_000158.spc,53.2736310000,-9.0494850000,40.5,5.622,29.304,68.971,4.2730,0.7829,0.5658,0.8608,27.3463,1.0970,1.5844,2.9574,64.4296,0.6238,0.6691,0.5774,0.9999
spect_000159.spc,53.2715780000,-9.0439670000,51.3,5.559,30.912,71.743,4.1414,0.8284,0.5891,0.8343,28.9356,1.1421,1.5357,3.1293,67.0783,0.6046,0.7080,0.6011,0.9999
spect_000160.spc,53.2715490000,-9.0457400000,40.1,4.761,28.518,67.999,3.4346,0.7655,0.5606,0.6919,26.7388,1.0869,1.2736,2.8917,63.8339,0.5014,0.6542,0.5720,0.9999
spect_000161.spc,53.2707900000,-9.0525430000,62.9,5.165,29.413,71.890,3.7845,0.7873,0.5929,0.7624,27.5007,1.1495,1.4033,2.9741,67.5125,0.5525,0.6729,0.6050,0.9999
spect_000162.spc,53.2605560000,-9.0540620000,48.9,4.684,28.748,66.616,3.3625,0.7732,0.5484,0.6774,27.0077,1.0633,1.2468,2.9208,62.4481,0.4909,0.6608,0.5596,0.9999
spect_000163.spc,53.2649100000,-9.0424970000,50.3,5.595,28.611,61.910,4.3244,0.7661,0.5042,0.8712,26.7623,0.9775,1.6035,2.8943,57.4126,0.6313,0.6548,0.5145,0.9998
spect_000164.spc,53.2726170000,-9.0404900000,64.9,5.414,28.606,72.900,4.0500,0.7622,0.6017,0.8159,26.6234,1.1666,1.5018,2.8793,68.5190,0.5912,0.6514,0.6140,1.0000
spect_000165.spc,53.2673760000,-9.0548090000,55.7,5.510,28.526,65.565,4.2107,0.7625,0.5368,0.8483,26.6365,1.0407,1.5613,2.8807,61.1235,0.6147,0.6517,0.5478,0.9999
spect_000166.spc,53.2766200000,-9.0587280000,48.6,5.472,28.685,68.379,4.1444,0.7661,0.5616,0.8349,26.7610,1.0888,1.5367,2.8941,63.9481,0.6050,0.6548,0.5731,0.9999
spect_000167.spc,53.2743120000,-9.0481970000,59.3,5.306,29.861,66.660,3.9583,0.8017,0.5459,0.7974,28.0052,1.0584,1.4677,3.0287,62.1638,0.5779,0.6852,0.5571,0.9999
spect_000168.spc,53.2760000000,-9.0570830000,61.8,5.230,28.824,65.309,3.9219,0.7728,0.5351,0.7901,26.9964,1.0375,1.4543,2.9196,60.9348,0.5725,0.6605,0.5461,0.9999
spect_000169.spc,53.2681870000,-9.0438420000,54.5,5.290,28.842,68.188,3.9576,0.7717,0.5603,0.7973,26.9585,1.0864,1.4675,2.9155,63.8050,0.5778,0.6596,0.5718,1.0000
spect_000170.spc,53.2673890000,-9.0548110000,59.7,5.397,30.167,72.126,3.9957,0.8076,0.5936,0.8050,28.2114,1.1509,1.4816,3.0510,67.5937,0.5833,0.6903,0.6057,0.9996
spect_000171.spc,53.2700430000,-9.0492850000,49.2,5.220,30.168,69.574,3.8390,0.8098,0.5716,0.7734,28.2866,1.1083,1.4235,3.0591,65.0916,0.5604,0.6921,0.5833,0.9999
spect_000172.spc,53.2725610000,-9.0517300000,62.8,4.928,30.913,72.283,3.5001,0.8317,0.5958,0.7051,29.0532,1.1551,1.2979,3.1420,67.8429,0.5110,0.7109,0.6080,1.0000
spect_000173.spc,53.2744160000,-9.0580810000,58.6,5.338,30.260,72.507,3.9308,0.8104,0.5971,0.7919,28.3102,1.1576,1.4575,3.0617,67.9875,0.5738,0.6927,0.6093,0.9999
spect_000174.spc,53.2707060000,-9.0548310000,52.0,5.427,30.460,70.571,4.0307,0.8166,0.5795,0.8120,28.5245,1.1236,1.4946,3.0849,65.9911,0.5884,0.6979,0.5914,0.9998
spect_000175.spc,53.2759600000,-9.0424130000,63.2,5.188,30.489,64.344,3.8412,0.8215,0.5253,0.7738,28.6968,1.0185,1.4243,3.1035,59.8164,0.5608,0.7021,0.5360,1.0000
spect_000176.spc,53.2609930000,-9.0553050000,43.6,5.068,29.817,62.128,3.7578,0.8038,0.5067,0.7571,28.0772,0.9824,1.3934,3.0365,57.6984,0.5486,0.6870,0.5171,0.9997
spect_000177.spc,53.2693790000,-9.0568380000,36.9,4.826,29.574,67.446,3.4753,0.7958,0.5546,0.7001,27.7990,1.0753,1.2887,3.0064,63.1514,0.5073,0.6802,0.5659,0.9998
spect_000178.spc,53.2640250000,-9.0544930000,57.0,5.187,30.618,65.118,3.8303,0.8249,0.5320,0.7716,28.8144,1.0315,1.4203,3.1162,60.5819,0.5592,0.7050,0.5429,1.0000
spect_000179.spc,53.2731020000,-9.0549070000,42.6,5.676,31.341,62.571,4.3245,0.8441,0.5074,0.8712,29.4865,0.9838,1.6035,3.1889,57.7790,0.6313,0.7215,0.5178,0.9999
spect_000180.spc,53.2654860000,-9.0463820000,57.7,5.381,29.126,68.066,4.0429,0.7795,0.5587,0.8145,27.2286,1.0833,1.4991,2.9447,63.6226,0.5902,0.6662,0.5701,1.0000
spect_000181.spc,53.2676320000,-9.0562710000,63.2,5.615,29.351,71.423,4.2442,0.7832,0.5874,0.8550,27.3575,1.1389,1.5738,2.9587,66.8908,0.6196,0.6694,0.5994,1.0000
spect_000182.spc,53.2675140000,-9.0516320000,64.0,5.594,30.858,65.216,4.2326,0.8295,0.5314,0.8527,28.9751,1.0303,1.5695,3.1336,60.5130,0.6179,0.7090,0.5423,0.9997
spect_000183.spc,53.2658620000,-9.0543010000,52.5,5.597,28.925,72.572,4.2282,0.7705,0.5980,0.8518,26.9135,1.1594,1.5678,2.9106,68.0936,0.6172,0.6585,0.6102,1.0000
spect_000184.spc,53.2704790000,-9.0501610000,59.5,4.970,30.656,70.413,3.5657,0.8249,0.5794,0.7183,28.8146,1.1233,1.3222,3.1162,65.9748,0.5205,0.7050,0.5912,1.0000
spect_000185.spc,53.2709570000,-9.0426670000,51.2,5.095,29.437,67.358,3.7518,0.7904,0.5531,0.7558,27.6090,1.0724,1.3912,2.9858,62.9813,0.5477,0.6755,0.5644,1.0000
spect_000186.spc,53.2705320000,-9.0451830000,64.1,5.516,31.626,70.340,4.0896,0.8498,0.5762,0.8239,29.6854,1.1172,1.5164,3.2104,65.6131,0.5970,0.7263,0.5880,1.0000
spect_000187.spc,53.2773280000,-9.0512110000,60.2,5.219,31.577,61.506,3.8659,0.8540,0.4992,0.7788,29.8304,0.9679,1.4335,3.2261,56.8463,0.5644,0.7299,0.5094,1.0000
spect_000188.spc,53.2703760000,-9.0418480000,38.1,5.101,30.365,67.565,3.7300,0.8170,0.5541,0.7515,28.5389,1.0743,1.3831,3.0864,63.0959,0.5445,0.6983,0.5654,0.9999
spect_000189.spc,53.2700480000,-9.0512030000,55.0,5.271,28.839,70.367,3.9204,0.7708,0.5796,0.7898,26.9257,1.1238,1.4537,2.9120,66.0015,0.5723,0.6588,0.5915,1.0000
spect_000190.spc,53.2663200000,-9.0485420000,63.6,5.520,30.595,69.982,4.1260,0.8202,0.5739,0.8312,28.6505,1.1127,1.5299,3.0985,65.3532,0.6023,0.7010,0.5857,0.9998
spect_000191.spc,53.2726770000,-9.0417470000,35.5,5.420,31.847,69.665,3.9923,0.8570,0.5704,0.8043,29.9370,1.1058,1.4804,3.2376,64.9466,0.5828,0.7325,0.5820,1.0000
spect_000192.spc,53.2688350000,-9.0572440000,62.2,5.081,27.839,70.370,3.7573,0.7430,0.5811,0.7569,25.9559,1.1266,1.3932,2.8071,66.1698,0.5485,0.6351,0.5930,0.9997
spect_000193.spc,53.2739100000,-9.0464150000,41.3,5.296,29.639,73.635,3.8957,0.7923,0.6077,0.7848,27.6759,1.1782,1.4445,2.9931,69.1975,0.5687,0.6772,0.6201,0.9999
spect_000194.spc,53.2798900000,-9.0481820000,40.6,5.474,28.813,64.326,4.1769,0.7716,0.5257,0.8415,26.9524,1.0193,1.5488,2.9148,59.8623,0.6098,0.6595,0.5364,1.0000
spect_000195.spc,53.2748070000,-9.0588410000,44.4,5.817,29.553,65.638,4.4911,0.7904,0.5356,0.9048,27.6095,1.0384,1.6653,2.9859,60.9869,0.6556,0.6755,0.5465,0.9999
spect_000196.spc,53.2641600000,-9.0427150000,44.9,5.191,30.468,72.078,3.7798,0.8175,0.5936,0.7615,28.5558,1.1508,1.4015,3.0882,67.5884,0.5518,0.6987,0.6057,1.0000
spect_000197.spc,53.2718340000,-9.0593800000,35.7,5.059,31.424,66.497,3.6665,0.8483,0.5439,0.7386,29.6310,1.0545,1.3595,3.2045,61.9326,0.5352,0.7250,0.5550,0.9999
spect_000198.spc,53.2676650000,-9.0571110000,45.9,5.493,30.152,70.708,4.1045,0.8073,0.5808,0.8269,28.1991,1.1261,1.5220,3.0497,66.1365,0.5992,0.6900,0.5927,0.9998
spect_000199.spc,53.2698660000,-9.0432780000,42.5,5.713,28.985,65.845,4.4004,0.7745,0.5382,0.8865,27.0545,1.0435,1.6317,2.9259,61.2877,0.6424,0.6620,0.5492,1.0000
spect_000200.spc,53.2679770000,-9.0480210000,47.2,5.260,31.411,65.131,3.8809,0.8474,0.5312,0.7818,29.5995,1.0300,1.4391,3.2011,60.4911,0.5666,0.7242,0.5421,0.9999
spect_000201.spc,53.2773670000,-9.0414670000,64.1,5.552,31.023,65.247,4.1862,0.8344,0.5317,0.8433,29.1485,1.0308,1.5522,3.1523,60.5427,0.6111,0.7132,0.5425,1.0000
spect_000202.spc,53.2717860000,-9.0573210000,35.5,5.416,30.208,68.547,4.0441,0.8103,0.5619,0.8147,28.3037,1.0895,1.4996,3.0610,63.9868,0.5904,0.6925,0.5734,0.9999
spect_000203.spc,53.2649840000,-9.0533530000,50.0,5.330,29.213,65.233,4.0129,0.7835,0.5338,0.8084,27.3692,1.0350,1.4880,2.9599,60.7855,0.5858,0.6697,0.5447,1.0000
spect_000204.spc,53.2772440000,-9.0428860000,64.7,5.192,28.859,63.965,3.8936,0.7747,0.5234,0.7844,27.0602,1.0147,1.4437,2.9265,59.5946,0.5684,0.6621,0.5340,1.0000
spect_000205.spc,53.2751200000,-9.0527900000,56.9,5.586,31.875,65.223,4.1960,0.8588,0.5306,0.8453,30.0004,1.0288,1.5559,3.2445,60.4223,0.6126,0.7340,0.5415,0.9998
spect_000206.spc,53.2784000000,-9.0534510000,39.3,5.505,29.950,64.743,4.1727,0.8040,0.5283,0.8406,28.0847,1.0243,1.5472,3.0373,60.1582,0.6092,0.6872,0.5391,1.0000
spect_000207.spc,53.2668490000,-9.0541820000,64.0,5.361,30.181,71.111,3.9680,0.8087,0.5848,0.7994,28.2479,1.1337,1.4714,3.0549,66.5852,0.5793,0.6912,0.5967,0.9999
spect_000208.spc,53.2626720000,-9.0497280000,38.0,5.446,29.961,66.885,4.0951,0.8037,0.5474,0.8250,28.0744,1.0613,1.5185,3.0362,62.3305,0.5978,0.6869,0.5586,1.0000
spect_000209.spc,53.2737010000,-9.0427700000,50.6,5.245,31.600,64.347,3.8676,0.8532,0.5242,0.7792,29.8045,1.0163,1.4341,3.2233,59.6900,0.5646,0.7293,0.5349,0.9999
spect_000210.spc,53.2787410000,-9.0409060000,38.3,5.269,30.891,63.305,3.9199,0.8331,0.5156,0.7897,29.1021,0.9995,1.4535,3.1473,58.7044,0.5722,0.7121,0.5261,0.9999
spect_000211.spc,53.2775860000,-9.0483160000,54.8,5.574,31.002,69.622,4.1720,0.8318,0.5702,0.8405,29.0558,1.1056,1.5470,3.1423,64.9323,0.6091,0.7109,0.5819,1.0000
spect_000212.spc,53.2654190000,-9.0408890000,40.5,5.244,30.720,68.426,3.8565,0.8261,0.5610,0.7769,28.8557,1.0876,1.4300,3.1207,63.8748,0.5630,0.7060,0.5724,0.9999
spect_000213.spc,53.2678080000,-9.0599740000,52.7,5.463,31.201,66.557,4.0801,0.8395,0.5434,0.8220,29.3260,1.0535,1.5129,3.1715,61.8730,0.5956,0.7175,0.5545,0.9999
spect_000214.spc,53.2776620000,-9.0581650000,58.4,5.242,28.671,62.203,3.9649,0.7697,0.5078,0.7988,26.8881,0.9846,1.4702,2.9079,57.8245,0.5788,0.6579,0.5182,0.9999
spect_000215.spc,53.2712770000,-9.0511950000,43.0,5.034,29.708,66.977,3.6853,0.7987,0.5497,0.7424,27.8996,1.0658,1.3665,3.0173,62.5932,0.5380,0.6826,0.5609,1.0000
spect_000216.spc,53.2727400000,-9.0539820000,40.4,5.247,28.932,68.223,3.9113,0.7746,0.5607,0.7880,27.0568,1.0871,1.4503,2.9261,63.8470,0.5710,0.6620,0.5722,0.9999
spect_000217.spc,53.2715820000,-9.0487290000,38.7,5.355,30.374,65.380,4.0042,0.8168,0.5340,0.8067,28.5323,1.0354,1.4848,3.0857,60.8092,0.5846,0.6981,0.5449,1.0000
spect_000218.spc,53.2693750000,-9.0494730000,37.5,5.657,29.271,63.746,4.3534,0.7840,0.5196,0.8770,27.3860,1.0075,1.6143,2.9617,59.1701,0.6355,0.6701,0.5302,0.9998
spect_000219.spc,53.2656230000,-9.0586300000,55.9,5.386,32.200,65.396,3.9847,0.8693,0.5325,0.8028,30.3644,1.0324,1.4775,3.2838,60.6342,0.5817,0.7430,0.5434,0.9999
spect_000220.spc,53.2787500000,-9.0466380000,61.2,5.029,29.138,65.107,3.7122,0.7831,0.5337,0.7479,27.3550,1.0347,1.3765,2.9584,60.7718,0.5419,0.6693,0.5446,0.9999
spect_000221.spc,53.2775820000,-9.0556730000,61.0,5.617,30.456,63.425,4.2824,0.8186,0.5159,0.8627,28.5934,1.0002,1.5879,3.0923,58.7451,0.6252,0.6996,0.5264,0.9999
spect_000222.spc,53.2761350000,-9.0469350000,42.6,5.527,29.742,68.836,4.1660,0.7961,0.5645,0.8393,27.8082,1.0945,1.5448,3.0074,64.2835,0.6082,0.6804,0.5761,0.9997
spect_000223.spc,53.2672250000,-9.0552770000,62.1,5.311,30.663,63.955,3.9640,0.8260,0.5213,0.7986,28.8532,1.0108,1.4699,3.1204,59.3647,0.5787,0.7060,0.5320,0.9999
spect_000224.spc,53.2729870000,-9.0465150000,61.4,5.782,30.623,64.463,4.4353,0.8220,0.5244,0.8935,28.7128,1.0167,1.6446,3.1052,59.7131,0.6475,0.7025,0.5351,0.9999
spect_000225.spc,53.2685500000,-9.0443750000,48.6,5.232,31.112,71.740,3.8058,0.8360,0.5899,0.7667,29.2015,1.1437,1.4112,3.1581,67.1709,0.5556,0.7145,0.6019,1.0000
spect_000226.spc,53.2774230000,-9.0592170000,64.6,5.398,31.074,62.785,4.0495,0.8379,0.5104,0.8158,29.2685,0.9896,1.5016,3.1653,58.1184,0.5912,0.7161,0.5208,0.9999
spect_000227.spc,53.2605220000,-9.0426860000,40.8,5.513,31.982,68.737,4.0902,0.8608,0.5618,0.8240,30.0685,1.0892,1.5167,3.2518,63.9685,0.5971,0.7357,0.5732,0.9999
spect_000228.spc,53.2657300000,-9.0565780000,54.1,5.720,32.244,68.508,4.2943,0.8673,0.5589,0.8651,30.2948,1.0836,1.5923,3.2763,63.6391,0.6269,0.7412,0.5703,0.9999
spect_000229.spc,53.2790810000,-9.0402900000,60.3,5.823,31.073,59.318,4.5071,0.8370,0.4785,0.9080,29.2371,0.9277,1.6712,3.1619,54.4845,0.6580,0.7154,0.4883,1.0000
spect_000230.spc,53.2649700000,-9.0573880000,35.3,5.701,30.402,67.639,4.3336,0.8146,0.5529,0.8731,28.4568,1.0719,1.6069,3.0775,62.9550,0.6326,0.6963,0.5642,0.9999
spect_000231.spc,53.2706450000,-9.0552880000,38.8,5.259,29.097,65.817,3.9390,0.7803,0.5393,0.7935,27.2575,1.0456,1.4606,2.9478,61.4083,0.5750,0.6669,0.5503,0.9999
spect_000232.spc,53.2702200000,-9.0515640000,42.7,5.315,30.765,63.144,3.9712,0.8293,0.5141,0.8000,28.9685,0.9967,1.4725,3.1329,58.5383,0.5797,0.7088,0.5246,0.9999
spect_000233.spc,53.2605580000,-9.0590100000,51.4,5.456,29.240,67.281,4.1217,0.7827,0.5515,0.8304,27.3407,1.0692,1.5283,2.9568,62.7955,0.6017,0.6690,0.5627,1.0000
spect_000234.spc,53.2703840000,-9.0559720000,61.6,5.291,30.011,62.385,3.9744,0.8080,0.5081,0.8007,28.2251,0.9851,1.4737,3.0525,57.8590,0.5802,0.6906,0.5185,1.0000
spect_000235.spc,53.2615600000,-9.0457830000,48.5,5.592,30.988,63.971,4.2374,0.8338,0.5203,0.8537,29.1252,1.0088,1.5712,3.1498,59.2497,0.6186,0.7126,0.5310,1.0000
spect_000236.spc,53.2758970000,-9.0580030000,46.3,6.040,28.534,68.792,4.7176,0.7583,0.5636,0.9504,26.4904,1.0927,1.7493,2.8649,64.1782,0.6887,0.6482,0.5751,1.0000
spect_000237.spc,53.2655710000,-9.0521760000,39.3,5.587,31.089,67.956,4.1966,0.8350,0.5554,0.8454,29.1662,1.0769,1.5561,3.1543,63.2452,0.6126,0.7136,0.5668,1.0000
spect_000238.spc,53.2758720000,-9.0490170000,62.5,5.806,30.266,65.161,4.4636,0.8112,0.5308,0.8992,28.3376,1.0291,1.6551,3.0647,60.4409,0.6516,0.6934,0.5416,0.9999
spect_000239.spc,53.2790840000,-9.0498740000,41.9,5.295,30.212,63.848,3.9613,0.8131,0.5208,0.7980,28.4037,1.0098,1.4688,3.0718,59.3074,0.5783,0.6950,0.5315,1.0000
spect_000240.spc,53.2655410000,-9.0516780000,39.5,5.797,31.425,63.688,4.4346,0.8454,0.5168,0.8934,29.5297,1.0020,1.6444,3.1936,58.8504,0.6474,0.7225,0.5274,1.0000
spect_000241.spc,53.2684890000,-9.0492620000,39.0,5.778,30.020,64.373,4.4489,0.8046,0.5242,0.8963,28.1075,1.0162,1.6497,3.0398,59.6841,0.6495,0.6877,0.5349,1.0000
spect_000242.spc,53.2654220000,-9.0410440000,48.7,5.573,30.665,62.453,4.2409,0.8253,0.5073,0.8544,28.8276,0.9835,1.5725,3.1176,57.7631,0.6191,0.7053,0.5176,1.0000
spect_000243.spc,53.2747600000,-9.0547560000,47.1,5.475,31.827,58.918,4.1392,0.8609,0.4754,0.8339,30.0718,0.9217,1.5348,3.2522,54.1309,0.6043,0.7358,0.4851,1.0000
spect_000244.spc,53.2652010000,-9.0448800000,50.7,5.974,31.414,60.034,4.6446,0.8456,0.4840,0.9357,29.5398,0.9385,1.7222,3.1947,55.1175,0.6780,0.7228,0.4939,0.9999
spect_000245.spc,53.2653690000,-9.0461880000,59.8,5.602,30.223,68.324,4.2334,0.8097,0.5594,0.8529,28.2852,1.0845,1.5697,3.0590,63.6953,0.6180,0.6921,0.5708,0.9999
spect_000246.spc,53.2621730000,-9.0452740000,63.6,5.585,30.926,67.755,4.2004,0.8304,0.5538,0.8462,29.0062,1.0737,1.5575,3.1370,63.0601,0.6132,0.7097,0.5651,1.0000
spect_000247.spc,53.2766040000,-9.0430570000,55.7,5.652,31.224,60.921,4.3176,0.8416,0.4930,0.8698,29.3987,0.9559,1.6010,3.1794,56.1408,0.6303,0.7193,0.5031,0.9999
spect_000248.spc,53.2676480000,-9.0419100000,57.3,5.576,29.406,66.660,4.2435,0.7871,0.5455,0.8549,27.4933,1.0576,1.5735,2.9733,62.1136,0.6195,0.6727,0.5566,0.9998
spect_000249.spc,53.2742380000,-9.0439380000,62.5,5.388,30.829,61.911,4.0540,0.8313,0.5029,0.8167,29.0375,0.9751,1.5032,3.1403,57.2677,0.5918,0.7105,0.5132,0.9999
spect_000250.spc,53.2725790000,-9.0527140000,35.3,5.458,28.979,69.705,4.1104,0.7741,0.5731,0.8281,27.0397,1.1111,1.5242,2.9243,65.2569,0.6001,0.6616,0.5848,1.0000
spect_000251.spc,53.2625290000,-9.0567300000,47.4,5.844,32.824,56.611,4.5021,0.8886,0.4530,0.9070,31.0391,0.8783,1.6694,3.3568,51.5848,0.6572,0.7595,0.4623,1.0000
spect_000252.spc,53.2644550000,-9.0409390000,44.8,5.647,29.759,64.518,4.3227,0.7978,0.5261,0.8709,27.8685,1.0199,1.6029,3.0139,59.9010,0.6311,0.6819,0.5368,1.0000
spect_000253.spc,53.2650510000,-9.0452380000,60.9,5.321,31.921,61.150,3.9625,0.8635,0.4955,0.7983,30.1623,0.9606,1.4693,3.2620,56.4190,0.5785,0.7380,0.5056,0.9999
spect_000254.spc,53.2729580000,-9.0422040000,50.3,5.764,30.329,70.289,4.3773,0.8110,0.5761,0.8818,28.3302,1.1170,1.6231,3.0638,65.6017,0.6390,0.6932,0.5879,0.9999
spect_000255.spc,53.2619890000,-9.0577270000,41.8,5.678,31.747,61.941,4.3208,0.8561,0.5015,0.8705,29.9041,0.9723,1.6022,3.2341,57.1051,0.6308,0.7317,0.5117,1.0000
spect_000256.spc,53.2754330000,-9.0564500000,38.9,5.999,31.910,68.628,4.5837,0.8560,0.5594,0.9234,29.9017,1.0845,1.6996,3.2338,63.6944,0.6691,0.7316,0.5708,1.0000
spect_000257.spc,53.2698800000,-9.0494090000,54.2,5.633,30.421,67.518,4.2654,0.8156,0.5520,0.8593,28.4917,1.0702,1.5816,3.0813,62.8549,0.6227,0.6971,0.5633,1.0000
spect_000258.spc,53.2632190000,-9.0470920000,52.3,5.584,31.471,61.934,4.2337,0.8486,0.5020,0.8529,29.6446,0.9732,1.5699,3.2060,57.1578,0.6181,0.7253,0.5122,0.9999
spect_000259.spc,53.2650800000,-9.0414650000,37.1,5.361,30.818,62.753,4.0196,0.8307,0.5105,0.8098,29.0188,0.9897,1.4905,3.1383,58.1240,0.5868,0.7100,0.5209,0.9999
spect_000260.spc,53.2749280000,-9.0426770000,39.5,5.167,30.793,59.851,3.8491,0.8324,0.4855,0.7754,29.0761,0.9412,1.4272,3.1445,55.2794,0.5619,0.7114,0.4954,0.9998
spect_000261.spc,53.2767560000,-9.0515440000,60.7,5.815,30.374,61.806,4.4985,0.8158,0.5011,0.9063,28.4967,0.9715,1.6681,3.0819,57.0560,0.6567,0.6973,0.5113,1.0000
spect_000262.spc,53.2791050000,-9.0495080000,43.6,5.434,32.153,62.185,4.0611,0.8691,0.5041,0.8181,30.3574,0.9773,1.5059,3.2831,57.3957,0.5929,0.7428,0.5143,1.0000
