sample_id,K_est,U_est,Th_est
sample_776,0.66,10.3,3.8
sample_777,4.35,20.4,1.4
sample_778,1.81,21.8,7.7
sample_779,5.19,8.8,2.5
sample_780,3.15,22.7,2.3
sample_781,1.51,10.9,4.0
sample_782,2.55,15.0,0.3
sample_783,1.59,17.8,6.3
sample_784,3.23,16.5,8.8
sample_785,2.12,22.0,1.0
sample_786,5.36,5.6,2.6
sample_787,1.14,10.3,10.2
sample_788,2.91,21.8,1.5
sample_789,3.58,5.5,2.0
sample_790,0.55,3.6,2.0
sample_791,4.02,15.1,4.5
sample_792,2.14,22.5,0.9
sample_793,4.09,15.5,9.7
sample_794,2.08,23.0,9.7
sample_795,3.22,4.0,5.1
sample_796,0.54,16.3,4.5
sample_797,3.08,12.8,3.2
sample_798,3.44,18.3,1.5
sample_799,0.79,21.3,2.9
sample_800,2.83,15.2,1.9
sample_801,5.43,14.1,8.3
sample_802,4.55,18.8,9.3
sample_803,2.01,7.4,6.4
sample_804,2.73,19.8,3.2
sample_805,3.79,3.6,5.3
sample_806,4.06,13.8,3.9
sample_807,2.57,24.2,4.7
sample_808,1.36,13.3,10.5
sample_809,4.25,6.3,3.7
sample_810,4.44,6.3,1.7
sample_811,1.66,20.9,2.2
sample_812,2.14,21.0,4.5
sample_813,4.78,22.7,1.3
sample_814,3.12,20.3,7.8
sample_815,2.87,11.1,5.9
sample_816,3.58,16.3,6.8
sample_817,1.19,2.9,3.7
sample_818,3.88,8.5,5.5
sample_819,2.77,14.6,7.3
sample_820,1.28,6.1,10.3
sample_821,3.76,19.6,5.7
sample_822,1.98,5.1,4.9
sample_823,3.69,23.3,1.4
sample_824,3.66,24.3,6.9
sample_825,5.02,22.6,3.4
sample_826,2.5,4.0,9.3
sample_827,2.5,10.6,0.8
sample_828,5.6,26.4,9.4
sample_829,1.92,10.7,5.2
sample_830,2.65,3.4,0.5
sample_831,1.53,4.5,0.9
sample_832,3.48,15.7,8.3
sample_833,2.63,6.7,10.4
sample_834,1.55,7.6,11.0
sample_835,3.91,12.4,0.2
sample_836,5.28,18.1,2.6
sample_837,3.43,5.7,1.6
sample_838,1.54,2.2,2.0
sample_839,2.84,17.0,4.1
sample_840,1.82,4.1,10.2
sample_841,0.85,6.7,2.8
sample_842,4.04,5.7,5.2
sample_843,1.54,17.0,3.8
sample_844,5.14,18.4,4.4
sample_845,3.17,10.5,1.4
sample_846,4.12,20.2,1.9
sample_847,1.63,3.7,10.1
sample_848,3.59,16.9,5.6
sample_849,4.27,20.6,7.5
sample_850,2.6,12.4,5.3
sample_851,5.42,9.9,10.5
sample_852,3.99,16.7,1.5
sample_853,1.34,17.5,3.5
sample_854,2.54,22.0,6.9
sample_855,2.51,11.3,5.0
sample_856,3.26,16.2,4.1
sample_857,4.26,26.2,8.9
sample_858,4.74,18.5,2.3
sample_859,4.5,4.9,9.8
sample_860,2.05,17.5,9.6
sample_861,3.43,20.2,7.3
sample_862,4.65,13.4,5.6
sample_863,3.25,23.0,1.7
sample_864,1.74,3.3,4.3
sample_865,5.1,9.4,5.9
sample_866,5.36,9.1,5.6
sample_867,2.67,15.6,5.3
sample_868,2.7,7.6,2.7
sample_869,5.83,20.9,8.0
sample_870,5.46,25.8,7.1
sample_871,5.06,3.8,4.4
sample_872,2.57,5.8,4.0
sample_873,0.89,24.5,8.5
sample_874,4.49,18.5,8.0
sample_875,2.64,21.2,3.9
sample_876,1.41,15.2,7.8
sample_877,1.6,21.7,8.6
sample_878,2.49,9.3,2.2
sample_879,5.15,18.5,10.6
sample_880,4.77,4.3,5.8
sample_881,2.23,21.4,1.7
sample_882,4.25,10.3,3.6
sample_883,4.19,15.3,4.7
sample_884,1.26,15.1,3.8
sample_885,2.0,24.3,10.2
sample_886,4.57,25.5,6.9
sample_887,4.7,13.5,5.8
sample_888,1.07,19.0,3.6
sample_889,3.88,3.9,3.4
sample_890,5.6,19.0,3.5
sample_891,2.38,10.1,3.7
sample_892,3.48,14.8,10.1
sample_893,5.07,11.2,1.2
sample_894,0.46,5.2,8.1
sample_895,0.51,6.9,6.9
sample_896,0.95,17.7,5.2
sample_897,0.67,3.8,3.5
sample_898,3.85,7.6,5.6
sample_899,2.77,12.8,7.3
sample_900,2.44,18.4,3.4
sample_901,2.83,20.2,1.7
sample_902,5.3,6.9,6.0
sample_903,4.32,15.2,5.3
sample_904,5.04,19.4,1.2
sample_905,3.55,23.4,4.7
sample_906,0.61,7.9,3.3
sample_907,0.73,18.8,8.5
sample_908,2.29,21.8,0.3
sample_909,1.85,15.0,5.9
sample_910,4.45,14.5,7.5
sample_911,3.71,5.1,1.4
sample_912,2.12,2.6,2.0
sample_913,0.83,5.3,9.6
sample_914,4.04,10.0,5.7
sample_915,3.85,15.5,4.6
sample_916,3.01,16.4,9.1
sample_917,5.46,25.4,9.6
sample_918,4.03,5.2,2.4
sample_919,0.91,19.9,6.6
sample_920,2.26,23.6,10.8
sample_921,3.98,25.3,10.5
sample_922,3.92,5.5,5.9
sample_923,1.96,9.7,7.4
sample_924,3.66,19.5,9.2
sample_925,4.03,9.6,3.9
sample_926,1.67,14.9,7.5
sample_927,3.37,25.3,9.5
sample_928,1.08,11.0,3.1
sample_929,3.15,18.3,2.0
sample_930,2.68,10.0,8.8
sample_931,5.05,22.2,6.7
sample_932,1.43,23.8,7.3
sample_933,1.38,12.1,8.1
sample_934,3.32,21.0,5.0
sample_935,5.25,25.1,10.8
sample_936,4.66,9.7,3.5
sample_937,4.86,9.4,6.7
sample_938,2.49,3.7,0.7
sample_939,1.21,16.5,2.5
sample_940,4.96,4.7,7.0
sample_941,3.87,8.1,3.1
sample_942,2.7,2.8,3.2
sample_943,1.23,22.3,0.2
sample_944,2.32,14.5,8.5
sample_945,2.83,6.7,10.3
sample_946,5.04,6.4,0.2
sample_947,5.4,12.7,10.9
sample_948,2.64,7.7,2.5
sample_949,2.94,23.2,10.9
sample_950,2.58,15.4,3.6
sample_951,1.34,22.4,9.7
sample_952,3.86,16.9,8.4
sample_953,4.8,25.8,7.3
sample_954,1.78,10.5,6.3
sample_955,4.92,23.9,7.7
sample_956,0.63,15.8,5.5
sample_957,4.07,24.3,6.6
sample_958,0.74,10.7,9.4
sample_959,2.86,6.5,2.1
sample_960,1.01,6.8,7.3
sample_961,0.99,1.9,2.7
sample_962,3.9,6.8,1.4
sample_963,4.04,25.1,7.7
sample_964,5.13,9.1,5.3
sample_965,0.74,3.1,7.6
sample_966,4.63,21.0,6.8
sample_967,0.71,16.7,1.4
sample_968,4.67,15.6,7.7
sample_969,2.4,16.6,9.7
sample_970,1.15,5.1,10.5
sample_971,3.19,10.0,0.5
sample_972,3.9,17.9,6.7
sample_973,3.92,11.2,3.7
sample_974,5.17,15.6,5.4
sample_975,4.23,6.6,9.8
sample_976,0.71,14.6,5.6
sample_977,3.93,11.3,5.1
sample_978,2.94,17.7,9.3
sample_979,3.44,16.2,1.7
sample_980,2.13,24.2,3.5
sample_981,3.66,19.1,4.9
sample_982,4.39,17.6,4.7
sample_983,0.6,4.4,6.7
sample_984,5.22,17.9,9.0
sample_985,1.25,3.1,4.1
sample_986,3.64,23.8,10.7
sample_987,3.58,21.1,8.5
sample_988,3.98,23.1,8.3
sample_989,1.88,21.1,3.0
sample_990,5.32,25.8,6.1
sample_991,4.05,11.0,1.3
sample_992,0.92,5.4,7.9
sample_993,1.12,21.1,0.4
sample_994,4.32,12.9,0.4
sample_995,1.3,23.9,6.9
sample_996,3.69,15.2,10.1
sample_997,3.21,16.0,9.8
sample_998,3.45,14.0,4.5
sample_999,0.98,17.3,8.6
