Sample_ID,Easting_ING,Northing_ING,Na2O_%_XRFS,MgO_%_XRFS,Al2O3_%_XRFS,SiO2_%_XRFS,P2O5_%_XRFS,S_mgkg_XRFS,Cl_mgkg_XRFS,K2O_%_XRFS,CaO_%_XRFS,TiO2_%_XRFS,MnO_%_XRFS,Fe2O3_%_XRFS,Sc_mgkg_XRFS,V_mgkg_XRFS,Cr_mgkg_XRFS,Co_mgkg_XRFS,Ni_mgkg_XRFS,Cu_mgkg_XRFS,Zn_mgkg_XRFS,Ga_mgkg_XRFS,Ge_mgkg_XRFS,As_mgkg_XRFS,Se_mgkg_XRFS,Br_mgkg_XRFS,Rb_mgkg_XRFS,Sr_mgkg_XRFS,Y_mgkg_XRFS,Zr_mgkg_XRFS,Nb_mgkg_XRFS,Mo_mgkg_XRFS,Nd_mgkg_XRFS,Sm_mgkg_XRFS,Yb_mgkg_XRFS,Hf_mgkg_XRFS,Ta_mgkg_XRFS,W_mgkg_XRFS,Hg_mgkg_XRFS,Tl_mgkg_XRFS,Pb_mgkg_XRFS,Bi_mgkg_XRFS,Th_mgkg_XRFS,U_mgkg_XRFS,Ag_mgkg_XRFS,Cd_mgkg_XRFS,In_mgkg_XRFS,Sn_mgkg_XRFS,Sb_mgkg_XRFS,Te_mgkg_XRFS,I_mgkg_XRFS,Cs_mgkg_XRFS,Ba_mgkg_XRFS,La_mgkg_XRFS,Ce_mgkg_XRFS,Au_µgkg_FA_ICPMS,Pd_µgkg_FA_ICPMS,Pt_µgkg_FA_ICPMS
586190C,245876,309508,1.3,2.5,13.7,63.7,0.25,500,100,1.866,0.97,0.82,0.187,5.79,12.6,108.3,149.3,20.75,56,22.68,105.8,13.6,0.8,7.6,0.3,13.3,62.1,107.6,23.1,430.9,13.2,0.5,27.2,3.6,2.43,9.8,0.5,2.3,,0.6,20,0.15,8,3.1,0.2,0.4,0.25,1.9,0.4,0.1,5.9,2,416,29,57,1.6,0.76,5.65
586191C,184116,318383,0.3,2,16.7,61.3,0.21,207,100,2.075,1,0.748,0.177,6.82,13.9,174.7,90.5,30.26,63.1,44.57,112.5,19.5,0.9,17.3,3.9,13.9,84.7,118.5,25.8,271.9,16,12,31,4.4,5.09,6.4,0.5,2.8,,1.1,23.3,0.3,10.7,8,0.1,1.7,0.25,2.3,2,0.25,4.4,4,316,37,72,2.7,1.77,1
586193C,246123,309207,1.3,3.6,15.6,58.2,0.28,500,100,2.398,1.34,0.915,0.2,7.81,17.1,143.3,188.1,28.1,84.2,29.34,131.2,18.1,1,7.3,0.2,12,76.8,125,25.2,352.2,14.2,0.7,30.3,2.1,2.54,8.2,0.2,2.7,,1,24.6,0.7,9.2,2.9,0.3,0.2,0.25,2.1,0.9,0.2,6.6,2,520,33,66,1.6,0.74,0.4
586194C,258883,295747,1.1,2.7,15.8,62.1,0.27,500,100,2.941,0.4,0.707,0.367,6.6,14.7,126.6,108.6,37.61,59,30.95,128.6,18,0.7,14,0.5,12.2,103,69.2,25.3,264,13,2.3,31.6,3.6,2.77,5.4,0.8,2.9,,1.1,23.3,0.5,11.3,3.6,0.4,0.4,0.25,2,0.9,0.25,6.4,3,605,36,72,1.8,1.01,0.43
586195C,273289,332322,1.3,3.9,14.8,64.1,0.33,500,100,2.356,0.83,0.826,0.227,6.84,14.7,120.2,284.5,31.66,97.2,33.37,127.6,14.8,0.7,10.7,0.5,17.9,80.1,94.4,24.3,497.7,13.7,0.5,27.8,2.3,3.58,11.1,1.2,3.2,,0.7,30.1,0.7,9.7,3.1,0.2,0.25,0.25,3.3,1.1,0.25,9.5,2,513,32,64,2.2,0.87,0.49
586196C,311063,278744,0.9,2.6,13.4,62,0.35,500,100,2.252,1.64,0.768,0.279,6.39,12.2,109.4,148.2,21.83,54.6,31.15,118.4,14.1,0.9,20.4,0.9,16.1,84.5,83.6,26.9,416.7,12.3,0.9,32.5,3.6,2.2,8.2,0.3,2.8,,1,35.3,0.6,9.8,3,0.3,0.2,0.25,2.9,1.8,0.25,52.7,3,495,34,67,3,0.84,0.52
586197C,252876,305986,1,3.4,14.5,56.8,0.35,15,100,2.732,0.84,0.652,0.549,7.15,16.2,115,159.7,41.07,88.7,28.23,141.8,16.1,0.2,12.9,0.5,24.4,93,77.6,24.4,251.9,10.8,1,30.1,1.4,3.93,5.9,0.5,2.2,,0.8,21.6,0.3,9.1,2.5,0.9,0.3,0.1,2.6,1,0.25,16.7,4,712,34,66,2.7,0.87,0.46
586199C,263318,296324,0.8,2.3,14.5,48.7,0.41,790,100,2.2,0.53,0.632,1.083,8.94,17.3,133,106.9,66.14,61,33.37,164.8,16.5,1.1,17.8,1.1,17.4,84.6,72.9,22.9,174.7,9.6,2.9,30.4,3.9,2.2,2.1,0.7,2.6,,0.9,28.4,0.3,8.8,2.9,0.9,0.5,0.2,2,1.3,0.25,5.7,3,659,29,79,2.7,1.15,0.6
586200C,298191,297537,0.6,3,9.7,40.4,0.31,2311,12,1.793,6.02,0.556,0.256,4.4,12.9,82.8,95.4,15.77,48.7,42.05,161.7,11.4,0.5,6.9,3.4,44.4,69.5,77.2,20.6,146.5,8.4,0.5,25.6,3.7,3.35,2.3,0.5,2.4,,0.8,24.3,0.5,7.4,3.8,0.1,0.5,0.1,2,1.3,0.1,14.5,3,459,23,42,3.3,1.71,0.83
586201C,277034,318954,1.5,3.2,15.7,70.9,0.13,500,100,2.889,0.27,0.844,0.078,5.59,17.9,110.8,133.9,24.64,82.5,36.1,139.7,16.3,1,10.3,0.3,1.8,92.1,87,28.6,286.7,14.5,1.2,35.9,4.3,4.16,6.1,0.5,3.2,,0.4,58.5,0.5,10.7,2.6,0.2,0.25,0.25,1.5,0.7,0.3,0.5,2,493,41,77,1.7,0.89,0.44
586202C,206212,325020,0.1,1.2,19.7,57.4,0.21,379,100,1.344,0.69,0.742,0.126,7.1,13.5,189.6,101.8,32.53,79.9,54.36,151,22.4,1.5,19.1,5.6,16,73.7,118,27.1,154.3,17,13.7,39.7,3.5,2.77,4.3,0.5,3.5,,1.8,23.5,0.3,10.8,10.3,0.3,3.2,0.25,2,2.6,0.25,4.3,4,357,45,81,2.8,1.97,1.22
586203C,204726,316434,0.2,0.9,15.2,66.2,0.28,414,29,1.219,0.55,0.558,0.242,7.24,10.6,246.9,90.2,35.66,51.7,52.85,92.2,17.1,0.6,27.7,9.7,18.3,59.3,109,19.2,124.7,12.7,26.9,26.8,1.3,3.58,2.8,0.5,1.8,,1.8,27.7,0.4,7.4,12.6,0.3,1.9,0.25,2,3.3,0.25,6.3,3,308,35,60,2.9,2.13,1.54
586205C,276936,327756,0.1,1.2,5,15.8,0.23,8839,97,0.781,2.25,0.244,0.187,4.41,9.2,60.9,71.5,31.23,61,45.48,166.8,6.8,0.1,52.4,2.2,58.4,30.4,71,24.7,64.7,3.8,3.8,24.4,4,2.54,2.1,0.5,2,,1.1,25.1,0.2,4.5,3.1,0.25,0.9,0.25,1.3,1.9,0.25,12.8,1,163,15,28,7.4,1.87,1.06
586206C,209547,325189,0.1,1.6,18.3,59.5,0.19,324,100,2.169,1.13,0.795,0.282,7.46,14.5,166.4,102.5,33.28,86.4,36.2,147.3,20.6,0.9,16.3,2.6,10.3,92.7,105.7,24.6,273.5,15.8,7,35.5,3.4,3.58,5.7,0.1,2.4,,1,21.6,0.3,11.2,7.1,0.25,1.5,0.25,2.1,1.6,0.1,4.2,4,340,41,78,2.3,1.5,0.88
586207C,245688,317717,0.15,0.8,4.8,14.6,0.21,4317,75,0.666,2.73,0.264,0.114,2.74,9.7,46.5,59.2,14.48,36,55.47,149.4,5.6,0.25,6.3,1.7,61.2,26.4,82.3,29.7,79.2,4.2,0.4,33.3,5,3.7,2.2,0.5,2.7,,1.2,17.3,0.15,3.6,3.3,0.3,1.9,0.25,0.7,0.2,0.25,9,2,375,17,28,1.9,1.26,0.68
586208C,205322,326795,0.2,1.5,21.2,57.7,0.21,250,100,1.876,0.73,0.896,0.183,8.1,17.6,153.2,101.1,29.93,77.7,45.28,131.1,23.7,0.6,14.3,2.6,10,86.2,212.7,29.7,226.9,19.8,6.4,41.9,9,2.66,3.1,1.2,2.9,,1.7,22,0.6,12.1,7.1,0.3,2.6,0.25,2.4,1.4,0.25,2.9,6,383,52,96,2.3,1.59,1.02
586209C,276456,320452,1.4,3.8,15.2,61.1,0.37,54,100,2.732,0.95,0.754,1.712,8.32,15.9,124.9,142.2,69.92,129,37.61,434.4,17.1,0.8,24.5,1,22.8,88.5,106.3,29.5,264.4,11.2,2.7,38.5,7.1,3.24,5.6,0.5,2.5,,1,75.5,0.5,9.2,3.7,0.4,3.7,0.25,2.5,1,0.25,15.7,1,699,40,77,,,
586211C,262055,324118,1.1,2.8,15,63,0.3,613,100,2.315,0.63,0.932,0.247,7.29,15.9,121.9,171.4,29.07,69.8,26.81,114,15.3,1.1,8.6,0.4,13.3,75.4,82,25.5,471.7,16.1,0.6,31.7,5.2,3.81,10.3,0.9,2.7,,1.1,17.3,0.7,10,2.7,0.1,0.25,0.25,1.8,0.7,0.1,5.3,2,490,35,67,1.5,0.71,0.48
586212C,273320,324316,0.9,2.7,11.5,45.9,0.52,607,100,1.95,0.86,0.687,0.251,6.14,13.8,103.4,145.6,35.44,69,32.06,118.5,12.8,0.8,16.2,0.4,17.8,67.8,95.3,23.6,259.3,10.8,0.6,27.6,4.5,1.96,5.7,1.2,2.5,,0.7,22,0.3,7.9,2.6,0.1,0.25,0.25,1.8,1.2,0.25,5.8,1,454,28,56,3.4,0.84,0.44
586214C,276713,319056,1.1,3.4,15.6,59.1,0.3,26,100,2.847,0.54,0.709,1,8.21,16.9,121.3,141.6,74.14,113.3,30.95,366.1,16.6,0.9,26.1,0.8,15.9,96,69.1,27.2,249.4,12,2.8,33.2,4.2,2.77,4.5,0.5,2.7,,0.9,45.8,0.4,9.7,3.8,0.4,2.8,0.25,2,0.8,0.25,10.5,2,606,39,74,1.9,0.86,0.56
586215C,271743,329211,1.2,3,15.4,61.2,0.34,51,100,2.148,0.74,0.85,0.151,6.32,16.7,125.3,190.8,31.34,76.5,29.54,110.2,17.4,1.5,15.2,0.5,11,77.6,93,25.1,337.8,13.6,0.7,29.3,5.2,4.85,8,1,3.2,,0.9,24.4,0.7,9.1,2.7,0.3,0.25,0.25,2.2,1.7,0.25,4.5,3,490,31,62,2.8,0.82,0.41
586216C,205009,327197,0.2,1.2,19.1,60.2,0.19,199,100,1.386,0.5,0.703,0.13,6.9,12.5,223.1,100.9,29.72,84,55.17,122.2,22.4,1.1,21.1,6.4,10.3,72.4,181.9,25.6,146.3,16,15.6,35.6,4.3,2.08,3.4,0.5,2.2,,1.8,20.3,1,10.3,11.4,0.3,4.6,0.25,2.3,3,0.25,3.2,3,346,43,77,2.9,1.96,1.37
586217C,274626,318173,0.8,3.1,14.4,49.4,0.32,2814,100,2.659,0.73,0.685,0.061,5.56,16.7,112.2,135.8,52.41,210.9,63.95,235.7,16.7,1.1,14,1.3,23.7,97.3,79.4,47.4,180.2,12,1.6,63,11.3,5.66,4.3,0.7,3.6,,1.1,79.2,0.3,10.5,5.3,0.4,1.1,0.1,2,1.3,0.25,5.7,3,470,59,106,3.5,1.18,0.71
586219C,204944,325756,0.3,1.5,22.3,57.5,0.21,538,100,1.824,0.51,0.986,0.178,7.56,15.2,129.2,95.4,30.37,67.5,42.76,112.2,24.3,1.3,12.7,2,6.3,83.5,115.8,28.5,186.9,22.5,3.5,45.5,7.8,3.81,3.5,0.9,3.2,,1,21,0.6,11.8,5.8,0.2,2,0.25,2.1,1,0.25,0.9,6,376,52,97,2.2,1.54,0.95
586220C,256827,327851,1.1,2.5,14.5,63.3,0.26,500,100,2.346,1.45,0.959,0.114,6.48,16.3,106.9,143.8,20.1,57.6,30.04,89,16.5,1.4,6.5,0.4,5.4,78.2,89.1,28.2,418,17.3,0.6,33.9,3.3,4.05,9.1,1.1,3,,0.9,23,0.1,10,2.7,0.1,0.25,0.25,1.7,0.7,0.25,2,3,588,39,73,1.8,0.9,0.36
586221C,282186,313763,0.9,2.5,13.7,45.7,0.52,958,100,2.106,0.97,0.642,0.337,8.07,17.2,122.1,107,93.05,118.8,63.44,262.8,15,0.9,42.8,1.6,20.7,75.9,90.5,42.8,185.7,9.9,3.1,53.5,7.9,4.28,3.9,0.2,3.1,,0.8,38.3,0.2,9.3,5.4,0.7,1.6,0.25,1.8,1.3,0.25,8.2,3,654,50,100,3.4,1.92,1.27
586222C,250364,305633,1.2,3.1,10.2,62.3,0.32,500,100,1.459,2.74,0.658,0.613,5.63,10.1,87.8,284.7,22.15,59.7,19.65,106.7,10.3,1.1,12.1,0.6,13.8,47.9,93.6,21.7,1225.9,10.3,0.7,23,2.7,4.51,26.9,0.4,2.8,,0.25,23.6,1.4,7.5,3.1,0.25,0.25,0.25,3.2,1,0.25,5.9,2,498,23,46,3.2,0.63,0.36
586223C,206210,317694,0.3,1.6,18.9,61.3,0.19,500,100,2.774,0.27,0.814,0.106,7.07,14.5,162.9,94.3,27.66,39.4,40.74,90,21.8,0.6,13.1,2.5,11.8,110.5,113.9,24.1,243.1,17,11,35.6,2.8,3.47,3.5,0.3,2.5,,1.1,24.2,0.3,11.2,7.6,0.3,0.7,0.25,2.5,1.5,0.25,3.3,7,385,44,80,2,1.3,0.86
586224C,270080,329876,0.9,2.8,13.6,48.8,0.69,1473,100,2.315,0.91,0.819,0.155,7.03,13.9,112.8,154.2,27.88,83.1,48.91,113.8,15.8,0.9,6.4,0.9,23.5,79.9,79,30,272,14.1,0.9,41.6,9.7,4.05,5.1,0.8,2.7,,0.8,24.9,0.3,9.5,3.1,0.6,0.3,0.25,1.7,0.1,0.25,7.1,2,608,42,75,1.9,1.17,0.54
586225C,207893,323497,0.1,1.1,21.7,55.5,0.17,313,100,1.355,0.24,0.915,0.08,8.04,15.4,124,96.4,18.15,42.7,30.04,59.4,23.6,0.9,12.7,1.4,6.7,65.1,89.2,25.8,346.9,18.2,2.4,43.4,6.8,2.54,8.7,0.3,2.8,,1,20.7,0.5,11.7,4.2,0.25,0.7,0.25,2,0.8,0.25,2,4,244,51,94,1.9,2.06,0.83
586226C,271696,329332,1.2,3.1,14.6,61.8,0.34,500,100,2.273,0.75,0.822,0.228,6.29,14.4,114,242.1,29.61,87.6,30.14,114.4,15.6,0.8,10,0.3,12,76.9,83.9,25.2,510.8,13.8,0.6,30.2,3.3,3.58,11.1,0.4,2.3,,1.2,24.8,0.3,8.7,2.3,0.25,0.2,0.25,2.6,1.1,0.25,5.8,2,500,34,65,2.6,0.91,0.53
586227C,248002,313063,1,2.4,13.7,58.1,0.41,30,100,1.897,0.87,0.832,0.305,6.36,13.9,112.5,168,24.1,64.4,30.24,136.3,14.8,0.8,8.3,0.4,13.3,70.1,89.7,26,395.6,13.2,0.6,35.2,1,4.51,7.7,1.1,3.2,,0.9,27.6,0.2,7.9,2.3,0.2,0.1,0.25,2.4,0.4,0.25,5.5,2,500,32,62,1.9,0.78,0.44
586228C,267980,326089,1.5,4,15.1,58.5,0.32,500,100,2.221,1.07,0.819,0.26,7.18,16.5,137.5,176.9,33.93,77.5,33.88,128.7,16,0.6,10,0.4,17.4,75.4,134.4,20.9,265.6,10.9,0.9,26.7,1.5,5.2,5.6,0.6,1.9,,0.4,29.7,0.15,8.2,2.9,0.1,0.25,0.25,2.1,0.8,0.1,6.5,2,511,27,54,2.2,0.86,0.54
586229C,274769,317215,0.8,2.7,12.3,45.8,0.44,458,100,2.127,1.35,0.652,1.181,8.37,15.2,116.7,142.6,116.83,144.4,45.38,294.5,13.5,1.2,23.9,1.3,36.1,74.4,83.7,29.7,206.4,10.2,2.7,37.7,3,5.43,4.2,0.5,3.1,,1.3,45.3,0.8,8.7,3.5,0.3,1.9,0.25,2.2,1.2,0.25,20.9,2,572,36,71,3.8,1.5,0.8
586231C,205715,316866,0.3,1.2,17.5,62.7,0.28,385,100,1.407,0.71,0.643,0.191,7.33,11.8,202.7,95.6,38.8,66,43.77,144,19.9,1,20.5,6.1,11.7,71.8,113.7,23.5,177.9,14.9,13.4,36.4,5.1,2.54,4.3,1.3,3.2,,1.3,25.7,0.4,9.3,9.8,0.1,1.5,0.25,2.1,2.6,0.25,3.7,4,315,42,73,6.3,3.77,2.99
586233C,245187,317783,0.15,1.3,6.8,22.9,0.35,8726,68,1.219,4.73,0.359,0.276,6.16,9,58.1,53.8,14.48,35.6,34.58,110.5,8.3,0.25,6.6,2,63.8,53.4,97.2,12.5,67.2,6.2,1.1,19.6,2.6,3.24,1.9,0.1,1.7,,0.8,18.5,0.3,5.1,3.4,0.6,0.4,0.1,1.6,0.5,0.25,16.6,3,401,14,25,3.2,1.4,1.2
586235C,276214,326415,1.1,3,11.1,54.7,0.34,1163,9,2.002,1.14,0.668,0.126,4.53,13,91,142.6,37.17,73.9,45.99,830.3,12.1,0.5,11.5,0.7,21.7,65.7,96,26.7,304.9,10.5,1.1,27.9,4.4,3.24,6.8,0.1,3.8,,1,45,0.1,7.2,2.8,0.2,2.9,0.25,2.9,1.3,0.25,8,2,426,29,53,4.7,2.24,1.27
586236C,273392,327600,1.2,3.7,13.9,54.6,0.44,180,100,2.116,0.98,0.76,0.464,6.72,16.8,117.3,208.9,44.63,99,34.28,177.6,16.2,0.5,21.8,0.6,22.7,74.7,101.6,23.1,320.1,11.6,0.6,26.9,3.7,1.16,6.5,0.4,2.4,,0.8,27.5,0.4,8.8,2.7,0.2,0.2,0.1,2.3,2.4,0.25,10.5,2,553,28,56,6.3,1.15,0.91
586237C,249365,319694,1.2,2.5,12.8,61.2,0.33,313,100,2.273,1.08,0.818,0.23,5.66,10.3,96.9,151.9,17.83,51.5,31.66,113,14.5,0.2,5.1,0.6,13.7,74.4,74,28,607.3,15.1,0.5,36,6.3,3.47,12.8,0.5,2.4,,0.9,31.2,0.3,8.5,3.2,0.25,0.25,0.25,4.1,0.6,0.25,6.1,2,505,34,63,3.2,1.27,0.75
586238C,254885,324570,0.5,1.5,9.9,32.8,0.39,2799,1,1.156,1.91,0.58,0.123,5.23,14.7,83.7,95.3,18.26,54.2,49.22,135.2,11.5,0.25,7.7,3.7,24.4,41.8,71.9,44.2,210.6,10.2,0.5,53.2,10.3,3.93,4.2,0.5,2.8,,0.6,21,0.1,7.5,5.5,0.5,0.4,0.25,1.4,0.1,0.25,7.5,2,468,40,64,3,1.36,1.08
586239C,267104,327361,1,3.1,13.7,48.6,0.6,1803,100,2.263,1.18,0.728,0.19,7.27,15.2,120.9,150.9,37.71,80.4,44.78,136.3,15.5,0.9,11.1,0.7,22.9,78.2,116.3,25.9,210.5,10.7,1.2,31.7,4.9,3.7,4.4,1,2.3,,0.9,26.4,0.5,7.5,3.3,0.4,0.25,0.25,1.4,0.8,0.25,9.1,3,612,31,58,2.3,1.03,0.86
586240C,205774,326675,0.1,1.4,19.6,57.9,0.19,28,100,1.929,0.71,0.792,0.245,7.84,13.2,192.6,101.6,39.88,96.1,44.88,172.4,22.5,0.9,16.9,4.1,14.3,86,132.5,26.7,192.1,16.9,11.1,40,3.3,3.58,3.6,1.2,4,,1.5,24.4,0.4,11.2,9.2,0.2,3.9,0.25,2.5,1.8,0.25,4.6,4,343,46,87,3.2,1.92,1.51
586241C,207978,317891,0.1,1.1,20.1,53.7,0.25,178,3,1.229,0.51,0.773,0.233,10.96,15.3,168,98.8,59.11,84,55.77,168.4,23.1,0.8,19.5,4.9,24.4,64.1,100.9,31.1,192.9,15.4,12,47,3.2,3.24,3.5,0.5,2.2,,0.8,29.4,0.15,10.6,9.6,0.25,2.7,0.25,3,1.9,0.25,7.1,3,359,49,93,3.2,2.16,1.81
586242C,283823,318227,1,2.3,15.3,59.7,0.29,281,100,2.45,0.5,0.716,0.206,6.63,16.1,144,110.5,61.06,72.8,30.14,272.9,16.1,1.3,31.8,1,7.3,99.3,110.4,32.5,208.4,12,2.6,37.1,7.4,2.66,4.9,0.5,3.6,,1.2,35,0.4,10.3,4.8,0.25,1.4,0.25,1.8,0.9,0.25,2.6,4,1107,41,93,2.5,1.01,0.83
586243C,206346,324892,0.2,1.1,18.4,57.8,0.2,180,100,1.261,0.62,0.714,0.158,7.83,12.4,185.1,97.7,40.2,77.8,42.05,160.2,21.2,1.6,19.1,4.7,13,69.1,111.5,24.3,211.1,16.1,11.8,37.2,3.5,2.77,4.3,0.5,2.5,,1.6,21.6,0.1,10.4,8.7,0.1,3.3,0.25,2,2.2,0.3,5.4,3,312,43,79,3.7,2.27,1.68
586244C,211425,298806,0.2,1.2,8.4,52.4,0.34,1765,3,1.031,6.31,0.487,0.126,4.02,10,64.4,55.4,13.61,36.2,26.71,96.3,9.6,0.4,6.4,1.8,21.7,54,166.8,19.3,160.9,9.8,1.4,23.3,4.9,2.66,3.9,0.3,2.3,,0.7,15.7,0.15,6.3,3.5,0.25,1.1,0.25,1.4,0.6,0.2,6.2,3,160,23,43,2,0.73,0.79
586245C,285451,324366,1.1,3.1,14.4,57.9,0.38,500,100,2.67,0.67,0.704,0.477,7.6,15.1,125.7,124.1,55.87,74.5,28.73,1707.2,16.6,0.7,16.6,0.8,18,85.1,100.4,25.8,246,11,2,36.6,6.2,3.12,5.5,0.8,3.6,,1.7,261.2,0.4,9.7,3,0.2,17.1,0.25,2.2,0.5,0.25,10,2,537,37,77,1.9,0.69,0.67
586246C,208203,323404,0.1,0.8,14.4,67,0.15,500,12,1.198,0.15,0.654,0.028,5.48,7.8,210.8,81.2,8.86,26.4,20.66,36.3,15.8,1.1,12.7,2.5,12.8,50.4,61.4,18.2,441.9,13.4,8.3,26.3,2.5,2.2,10.2,0.7,2.5,,0.5,17,0.4,8.3,6.3,0.25,0.25,0.25,1.7,0.8,0.25,3.1,3,178,34,60,0.5,0.98,0.91
586247C,214342,323883,0.1,1,15.4,58,0.43,51,100,1.459,0.65,0.629,0.021,8.42,11.3,201.9,88,8.43,37.9,50.02,91.8,18.7,1.4,42.4,6,11.5,65.9,125.4,21.4,251.7,14.1,21.4,28.6,5.3,1.39,5.9,0.8,2.2,,1.5,24.3,0.3,9.7,10.5,0.3,0.8,0.25,1.6,3,0.25,1.6,3,434,34,62,3.4,1.88,1.51
586249C,207137,317100,0.1,0.9,16,55.1,0.31,500,37,1.303,0.14,0.671,0.011,7.94,9.1,178.6,84.7,7.99,31.4,26.91,46.6,17.9,1.7,20.1,3.1,20.6,60.6,89.1,18.5,182.9,14.9,9.4,32,4.5,2.66,3.8,0.5,2.3,,1,19.8,0.4,8.4,7.6,0.25,0.2,0.25,2,1,0.2,5,3,215,39,70,2.3,1.26,1.14
586250C,206678,324891,0.2,1.2,16.9,59,0.2,125,100,1.501,0.76,0.708,0.25,7.92,13.1,169,91.8,34.47,73.4,35.49,142.8,19.2,0.6,18.6,3.5,17.1,77.2,115.7,22.7,242.9,14.7,8.7,33.9,2.1,2.77,4.3,0.9,2.9,,1,20.3,0.1,10,6.9,0.2,2,0.25,2.1,1.8,0.25,7,3,371,37,69,2.5,1.4,1.07
586251C,268414,326168,1.3,3.7,15.1,56.8,0.37,1103,100,2.346,2.47,0.791,0.343,6.8,17.6,131,159.9,32.96,77.9,37.01,139.2,16.3,0.6,14,0.8,16,77.1,129.9,22.8,220.3,11.2,0.6,29.5,4.4,0.46,4.9,1,2.3,,0.9,25,0.7,8,4.7,0.4,0.2,0.1,2.3,1.2,0.25,7.2,2,520,34,68,3,1.39,1.33
586252C,249629,315348,1,2.6,12.6,53.3,0.34,796,100,1.876,0.97,0.763,0.119,5.87,15.2,107.9,175.1,22.69,65,33.07,121.1,14.2,0.4,4.3,0.5,21.7,70.1,90.8,21.3,345.5,11.5,0.5,25.9,4.8,3.7,6.7,0.7,2.4,,0.7,20.4,0.1,7.1,2.9,0.25,0.3,0.25,2.3,0.4,0.25,5.4,3,467,26,50,3.4,0.86,0.76
586254C,256090,336774,0.2,1.4,16.9,59.9,0.12,500,100,2.315,1.02,0.969,0.353,7.33,13.5,119,139.1,24.31,51.8,24.8,70.1,17.1,0.7,12.6,0.9,5.5,84.6,78.4,27.8,650.2,19.2,1.5,37.2,4.1,4.16,13.9,1.7,3.2,,0.8,20.2,0.6,11.5,4.2,0.1,0.1,0.25,2.2,0.5,0.1,2,4,302,41,79,2,0.95,0.73
586255C,207644,307669,0.1,0.9,10,62.9,0.22,1924,11,0.958,1.11,0.45,0.041,2.27,7.5,78.7,57.8,16.75,41.3,36.5,162.4,10.2,0.2,10.3,2,20.7,50.8,324,27.7,116.3,9.2,2.4,23,4.3,2.77,2.8,0.4,2.9,,0.7,23.3,0.3,6.6,5.9,0.25,3.7,0.25,1.5,0.6,0.25,6.8,3,171,25,46,2.2,0.64,0.53
586256C,267666,324189,1.2,3.3,14.5,56.4,0.36,400,100,2.002,1.1,0.838,0.275,6.09,15.4,124.9,180.6,29.5,76.2,31.76,133.8,15.8,0.6,7.6,0.4,17.1,71.2,112.1,25.1,372,12.2,0.8,29.2,3.5,3,7.2,0.5,2.7,,0.7,25.2,0.1,8.2,3,0.4,0.1,0.25,2.3,0.6,0.25,6.7,2,516,31,61,3,1.3,0.81
586257C,257953,326316,0.9,2.8,15.9,54.4,0.39,99,100,2.732,0.88,1.077,0.907,7.82,15.9,139.1,190.9,34.36,69.8,30.95,144.3,17.4,1.2,9.2,0.6,23.7,88,85.1,34.5,614.9,18,1.1,48.9,7.8,2.77,12.8,0.8,2.8,,0.7,18.1,0.3,10.3,2.9,0.25,0.25,0.25,3.1,1,0.1,11.9,3,1526,44,85,2.2,0.84,0.64
586258C,271145,329228,0.9,3,15,55.2,0.41,85,100,2.377,0.82,0.837,0.345,7.06,15.8,127,177.9,35.12,92.1,37.21,115.8,16.4,0.4,9.8,0.4,17.6,86.2,82.1,26.5,276.1,14.1,0.9,34.2,3.5,2.89,4.5,1,2.8,,0.3,25.8,0.4,9.5,2.7,0.3,0.25,0.25,1.8,1.1,0.25,7.2,3,563,36,68,2.8,1.17,0.95
586259C,206423,297934,0.2,1.7,11.8,54.8,0.23,328,100,1.657,7.7,0.589,0.131,5.09,10.7,98.6,74.7,16.75,51.3,29.54,94.6,12.5,0.2,8.6,1.5,12.2,80,185.7,24.2,215.2,11.5,2.6,28.2,6.1,2.66,3.6,0.5,2.2,,0.9,17.3,0.7,8.2,4,0.25,1.2,0.2,1.6,0.8,0.2,4.8,4,193,31,55,2.9,1.04,0.92
586260C,271278,331524,1,2.9,14.9,55.6,0.51,145,100,2.336,0.73,0.852,0.254,6.93,16.3,120.8,163.7,31.88,79.7,36.4,135.7,18,0.8,8.4,0.6,30.3,89.6,68.5,26.3,282.9,15.5,0.5,32.7,3.6,2.66,6.4,1,2.9,,0.8,26.6,0.4,9.6,2.9,0.2,0.25,0.25,1.8,0.3,0.25,11.8,3,576,36,69,7.8,26.29,6.4
586261C,208960,324897,0.1,1.5,15.2,62.2,0.14,639,100,2.419,1.14,0.83,0.114,5.36,10.9,98,81.7,24.75,33.3,19.14,67,15.1,0.8,11.5,0.8,14.3,82.9,81.3,23,727.5,17,2.4,25.4,3.2,3.35,15.2,0.7,3.5,,0.9,23.1,0.2,11.8,4,0.25,0.1,0.25,2.1,0.5,0.25,4.3,3,258,35,67,2.3,1.09,0.76
586262C,274418,321970,1,2.7,12.7,54.1,0.56,594,100,2.169,0.9,0.69,0.572,6.64,14.5,102.2,137.4,59.98,85.4,38.12,236,13.4,0.7,13.8,0.8,15.7,72.4,91,34.7,337.6,11.1,0.6,36.6,5.3,3.35,7.4,0.7,3.1,,0.7,29.5,0.8,9.9,3.9,0.7,1.1,0.25,1.8,1.1,0.25,6.4,2,558,39,73,3.4,0.84,0.8
