Sample_ID,Easting_ING,Northing_ING,pH,SEC_µScm,HCO3_mgL,NPOC_mgL,Cl_mgL_IC,SO4_mgL_IC,NO3_mgL_IC,Br_mgL_IC,NO2_mgL_IC,HPO4_mgL_IC,F_mgL_IC,Li_µgL_ICPMS,Be_µgL_ICPMS,B_µgL_ICPMS,Na_mgL_ICPMS,Mg_mgL_ICPMS,Al_µgL_ICPMS,Si_µgL_ICPMS,P_mgL_ICPMS,S_mgL_ICPMS,K_mgL_ICPMS,Ca_mgL_ICPMS,Ti_µgL_ICPMS,V_µgL_ICPMS,Cr_µgL_ICPMS,Mn_µgL_ICPMS,Fe_µgL_ICPMS,Co_µgL_ICPMS,Ni_µgL_ICPMS,Cu_µgL_ICPMS,Zn_µgL_ICPMS,Ga_µgL_ICPMS,As_µgL_ICPMS,Se_µgL_ICPMS,Rb_µgL_ICPMS,Sr_µgL_ICPMS,Y_µgL_ICPMS,Zr_µgL_ICPMS,Nb_µgL_ICPMS,Mo_µgL_ICPMS,Ag_µgL_ICPMS,Cd_µgL_ICPMS,Sn_µgL_ICPMS,Sb_µgL_ICPMS,Cs_µgL_ICPMS,Ba_µgL_ICPMS,La_µgL_ICPMS,Ce_µgL_ICPMS,Pr_µgL_ICPMS,Nd_µgL_ICPMS,Sm_µgL_ICPMS,Eu_µgL_ICPMS,Tb_µgL_ICPMS,Gd_µgL_ICPMS,Dy_µgL_ICPMS,Ho_µgL_ICPMS,Er_µgL_ICPMS,Tm_µgL_ICPMS,Yb_µgL_ICPMS,Lu_µgL_ICPMS,Hf_µgL_ICPMS,Ta_µgL_ICPMS,W_µgL_ICPMS,Tl_µgL_ICPMS,Pb_µgL_ICPMS,Bi_µgL_ICPMS,Th_µgL_ICPMS,U_µgL_ICPMS
585154W,237654,442157,7.12,56,13.53,8.32,14.057,2.427,0.091,0.04,0.005,0.05,0.005,0.487,0.0115,2.5,7.44,1.119,158.3,691,0.0042,0.77,0.186,1.97,1.393,0.17,0.194,32.04,480.4,0.269,0.75,0.954,3.242,0.024,0.19,0.107,0.224,13.832,0.7703,0.382,0.0035,0.05,0.025,0.0119,0.01,0.0263,0.0005,6.45,1.133,2.219,0.262,1.039,0.189,0.037,0.025,0.194,0.123,0.024,0.08,0.011,0.088,0.017,0.015,0.001,0.01,0.005,0.124,0.005,0.0976,0.342
585155W,237371,444378,7.47,86,31.7,7.85,20.198,5.201,1.246,0.07,0.005,0.05,0.03,0.38,0.0082,2.5,10.94,2.183,133.6,1569,0.0101,1.84,1.346,8.16,2.04,0.403,0.428,91.01,799.6,0.935,1.68,6.49,2.437,0.005,0.6,0.235,1.297,50.766,0.8294,0.458,0.0091,0.205,0.025,0.0151,0.021,0.0409,0.0029,12.54,0.593,1.074,0.16,0.629,0.131,0.031,0.019,0.143,0.115,0.024,0.083,0.012,0.086,0.016,0.018,0.001,0.01,0.005,0.068,0.005,0.0664,0.106
585156W,247358,456875,6,91,0,25.08,21.625,1.548,0.025,0.05,0.005,0.05,0.005,0.496,0.0179,2.5,12.08,1.521,289.6,617,0.0161,0.69,1.024,1.34,3.847,0.658,0.399,111.36,2312.1,0.611,0.65,0.821,6.326,0.028,0.45,0.106,1.058,11.862,0.359,0.27,0.0079,0.051,0.025,0.0168,0.074,0.0358,0.0608,28.74,0.315,0.782,0.09,0.373,0.084,0.021,0.012,0.087,0.064,0.013,0.037,0.005,0.031,0.005,0.01,0.001,0.04,0.011,1.273,0.005,0.0313,0.039
585158W,214184,406734,7.62,172,67.06,11.65,15.279,2.984,0.025,0.03,0.005,0.05,0.035,0.483,0.0081,2.5,8.74,2.943,81.4,1862,0.0232,1.12,1.605,20.58,2.517,0.279,0.217,100.88,561.1,0.264,0.74,1.102,1.032,0.005,0.38,0.116,2.565,115.16,0.7474,0.256,0.0069,0.15,0.025,0.0087,0.01,0.0276,0.0028,15.03,0.686,1.079,0.175,0.702,0.139,0.028,0.021,0.146,0.115,0.023,0.073,0.011,0.075,0.013,0.005,0.001,0.01,0.005,0.193,0.005,0.0562,0.232
585160W,249197,451212,7.04,322,52.43,16,28.148,11.008,1.839,0.09,0.005,0.05,0.032,0.829,0.0171,2.5,15.83,3.91,240.9,2744,0.029,4.22,2.778,15.12,4.468,0.649,0.681,248.12,1283.9,3.251,3.96,3.407,4.128,0.012,1.16,0.274,2.074,86.866,0.8277,0.866,0.0128,0.097,0.025,0.0271,0.024,0.1103,0.0042,13.04,0.904,1.682,0.232,0.922,0.183,0.045,0.025,0.192,0.134,0.026,0.085,0.011,0.071,0.012,0.031,0.001,0.01,0.005,0.185,0.005,0.084,0.136
585161W,222962,440470,5.87,154,76.81,12.29,24.387,5.783,1.131,0.12,0.005,0.05,0.025,0.335,0.0088,2.5,12.17,3.463,103.6,1666,0.1036,1.77,4.204,14.88,2.383,0.573,0.376,78.27,612.3,0.679,1.42,3.616,3.425,0.005,0.55,0.142,3.01,79.727,0.4358,0.402,0.0089,0.176,0.025,0.0166,0.028,0.042,0.0027,30.19,0.239,0.416,0.064,0.262,0.064,0.014,0.01,0.08,0.069,0.014,0.043,0.006,0.04,0.007,0.117,0.001,0.01,0.005,0.114,0.005,0.0512,0.072
585162W,233365,446919,5.46,88,7.56,9.23,17.345,3.479,0.025,0.07,0.005,0.05,0.005,0.334,0.0064,2.5,9.94,1.23,277.5,1745,0.0076,1.13,0.61,0.97,2.196,0.2,0.109,26.45,206.2,0.213,0.41,0.59,2.238,0.005,0.13,0.162,0.692,11.959,0.2281,0.155,0.0028,0.015,0.025,0.01,0.023,0.0177,0.0042,10.8,0.076,0.199,0.024,0.103,0.031,0.008,0.007,0.049,0.044,0.008,0.023,0.003,0.02,0.003,0.027,0.001,0.01,0.005,0.21,0.005,0.0162,0.015
585163W,231429,446535,6.58,206,39.01,11.09,31.458,12.863,2.115,0.16,0.005,0.05,0.012,0.453,0.012,2.5,17.02,3.379,194.5,2007,0.0198,4.15,1.926,11.36,2.067,0.424,0.434,132.71,935.9,1.001,2.22,2.776,5.854,0.005,0.45,0.175,1.524,87.837,0.6329,0.358,0.0067,0.085,0.025,0.0143,0.01,0.0472,0.0028,63.41,0.275,0.544,0.082,0.343,0.084,0.023,0.015,0.113,0.089,0.018,0.061,0.008,0.064,0.011,0.049,0.001,0.01,0.005,0.167,0.005,0.0369,0.063
585165W,248100,454611,7.04,132,48.77,18.88,25.443,4.645,0.104,0.09,0.005,0.05,0.021,0.626,0.0122,2.5,12.7,2.698,252.3,1656,0.0299,1.51,1.65,15.38,5.34,0.898,0.664,39.03,763.7,0.421,1.57,3.04,4.873,0.03,0.59,0.234,1.559,90.292,1.0291,0.512,0.0093,0.103,0.025,0.0222,0.01,0.0469,0.0025,40.73,1.473,2.795,0.37,1.381,0.277,0.055,0.036,0.269,0.19,0.034,0.1,0.014,0.088,0.015,0.034,0.001,0.01,0.005,0.369,0.005,0.0904,0.312
585166W,262099,445564,6.98,49,2.32,17.01,9.729,1.422,0.025,0.01,0.005,0.05,0.005,0.509,0.0103,2.5,5.55,0.885,268.8,872,0.019,0.25,0.815,2.68,2.381,0.746,0.561,52.01,599.1,1.381,3.31,3.759,5.687,0.042,0.54,0.155,0.538,15.823,0.7413,0.32,0.0047,0.054,0.025,0.0243,0.04,0.0427,0.0005,1.34,0.766,2.225,0.2,0.796,0.155,0.037,0.023,0.176,0.129,0.024,0.07,0.009,0.061,0.009,0.02,0.001,0.01,0.005,0.521,0.005,0.0557,0.032
585168W,213357,408135,7.17,142,36.58,18.76,18.483,2.232,0.248,0.06,0.005,0.29,0.045,0.367,0.0187,2.5,9.79,2.578,205.8,1312,0.1778,1.17,2.309,14.27,5.193,0.595,0.556,29.45,782.4,0.182,0.96,1.613,2.092,0.03,0.38,0.133,2.06,56.173,1.2645,0.45,0.0095,0.056,0.025,0.009,0.01,0.0272,0.0015,28.22,1.431,2.221,0.363,1.452,0.287,0.058,0.04,0.301,0.219,0.04,0.12,0.016,0.11,0.018,0.029,0.001,0.01,0.005,0.161,0.005,0.1449,0.196
585169W,251551,454209,7.38,159,40.23,10.57,22.92,5.265,0.244,0.09,0.005,0.05,0.017,0.519,0.0062,2.5,13.13,2.645,68.8,1305,0.018,1.53,1.215,12.4,0.755,0.141,0.162,110.86,490.4,0.184,0.73,1.456,2.338,0.01,0.23,0.172,1.592,75.98,1.2496,0.275,0.002,0.098,0.025,0.0179,0.01,0.0329,0.0021,20.79,1.594,1.296,0.384,1.451,0.264,0.056,0.033,0.279,0.172,0.032,0.101,0.012,0.084,0.015,0.017,0.001,0.01,0.005,0.21,0.005,0.0406,0.274
585170W,250995,454019,7.26,126,32.92,13.37,20.132,2.559,0.025,0.06,0.005,0.05,0.005,0.518,0.0071,2.5,12.77,2.491,104.4,1154,0.0099,1.32,1.096,9.45,0.987,0.119,0.179,225.61,958.2,0.556,0.73,1.075,7.065,0.005,0.19,0.181,1.607,55.895,0.8719,0.288,0.0025,0.042,0.025,0.0348,0.02,0.0335,0.0034,23.01,0.812,1.097,0.205,0.785,0.15,0.033,0.021,0.165,0.115,0.022,0.072,0.009,0.068,0.012,0.015,0.001,0.01,0.005,1.188,0.005,0.0412,0.124
585171W,252130,454807,7.39,194,34.14,12.02,31.964,9.809,0.689,0.16,0.005,0.05,0.005,0.531,0.0252,2.5,19.56,3.217,171.6,1480,0.0146,3.94,1.685,13.97,2.77,0.531,0.684,389.57,1290.4,1.077,2.02,4.88,4.271,0.105,0.64,0.312,1.562,78.707,3.9331,1.102,0.0071,0.119,0.025,0.0194,0.01,0.0485,0.0031,40.6,7.969,11.691,2.066,7.885,1.428,0.291,0.148,1.34,0.703,0.119,0.375,0.045,0.28,0.047,0.048,0.001,0.01,0.005,0.174,0.005,0.2055,0.501
585172W,259425,447275,7.28,88,31.7,8.26,11.819,1.849,0.524,0.07,0.005,0.33,0.044,0.125,0.0056,2.5,7.42,1.949,92.2,1120,0.2284,1.06,5.143,4.86,4.607,0.725,0.56,108.16,489.5,1.18,1.46,5.205,4.672,0.012,0.47,0.155,4.011,30.427,0.6817,0.165,0.0079,0.176,0.025,0.0219,0.045,0.0435,0.0015,5.26,0.592,0.816,0.169,0.668,0.143,0.04,0.021,0.156,0.117,0.022,0.066,0.008,0.047,0.006,0.016,0.001,0.01,0.005,0.156,0.005,0.035,0.024
585173W,235800,446851,5,79,0,11.97,15.508,2.513,0.064,0.05,0.005,0.05,0.005,0.274,0.0082,2.5,9.81,1.256,314.6,939,0.0089,1.22,0.747,1.13,2.872,0.289,0.188,95.81,636,0.685,0.57,92.281,14.746,0.024,0.33,0.092,0.91,12.162,0.2786,0.164,0.0035,0.015,0.025,0.0293,0.01,0.0236,0.0038,13.49,0.116,0.287,0.034,0.126,0.036,0.015,0.007,0.052,0.046,0.008,0.027,0.003,0.02,0.003,0.005,0.001,0.01,0.014,0.34,0.005,0.015,0.022
585174W,248161,451110,7.86,243,63.4,4.99,31.272,10.619,5.436,0.17,0.005,0.05,0.046,0.344,0.0024,2.5,21.47,5.246,37.1,1526,0.0241,4.88,3.942,34.28,0.957,0.216,0.186,41.79,260.5,0.208,1.9,2.059,0.675,0.005,0.97,0.114,2.808,194.533,0.4103,0.327,0.0039,0.098,0.025,0.0108,0.01,0.0741,0.0032,19.22,0.316,0.348,0.081,0.302,0.061,0.019,0.01,0.068,0.06,0.011,0.04,0.006,0.044,0.009,0.015,0.001,0.01,0.005,0.083,0.005,0.0232,0.421
585175W,259960,446538,7.2,140,37.8,13.11,19.67,5.319,0.949,0.1,0.005,0.05,0.005,0.333,0.0138,2.5,11.84,2.639,163.7,1991,0.0208,2.21,2.136,8.15,2.933,0.348,0.608,152.43,637.6,1.538,2.2,5.614,5.065,0.029,0.36,0.268,1.985,35.692,1.5906,0.268,0.0059,0.076,0.025,0.0259,0.01,0.0487,0.0012,4.85,1.764,2.099,0.445,1.742,0.328,0.083,0.045,0.354,0.238,0.046,0.131,0.016,0.098,0.015,0.015,0.001,0.01,0.005,0.149,0.005,0.0343,0.033
585177W,249066,449948,6.75,220,102.41,11.75,31.854,16.665,1.47,0.16,0.005,0.05,0.056,0.675,0.0098,2.5,17.25,5.206,73.5,2328,0.0461,5.21,3.089,23.73,1.56,0.451,0.387,165.62,386.1,0.897,2.85,3.758,2.718,0.005,0.83,0.154,2.274,126.417,0.5172,0.421,0.0079,0.125,0.025,0.0172,0.01,0.0692,0.0044,10.12,0.667,0.922,0.164,0.633,0.117,0.026,0.015,0.121,0.079,0.015,0.049,0.006,0.046,0.007,0.023,0.001,0.01,0.005,0.187,0.005,0.0271,0.29
585178W,255966,448369,6.89,115,15.12,26.46,23.961,7.476,0.025,0.1,0.005,0.05,0.021,0.621,0.0109,2.5,14.11,3.025,275.4,1585,0.0786,3.02,2.083,9.12,5.073,0.618,0.753,194.38,1691,2.762,3.51,5.187,7.941,0.021,0.94,0.181,1.541,44.896,1.2603,0.245,0.0093,0.059,0.025,0.0397,0.01,0.0469,0.0052,8.16,1.142,2.131,0.284,1.095,0.205,0.06,0.032,0.246,0.186,0.034,0.111,0.013,0.084,0.013,0.014,0.001,0.01,0.005,0.388,0.005,0.0258,0.024
585179W,244620,454483,7.13,213,84.13,12,29.069,7.785,0.813,0.13,0.005,0.05,0.02,0.416,0.0088,2.5,15.92,3.633,89.7,1666,0.0227,2.91,2.645,18.06,1.775,0.304,0.326,58.65,893.7,0.42,1.58,2.653,2.829,0.005,0.4,0.262,1.877,109.497,0.8745,0.404,0.0044,0.117,0.025,0.014,0.01,0.0469,0.0027,36.32,0.886,1.253,0.233,0.904,0.186,0.039,0.024,0.187,0.133,0.025,0.081,0.011,0.077,0.014,0.018,0.001,0.01,0.012,0.162,0.005,0.0474,0.232
585180W,260300,444305,6.96,73,14.14,13.41,10.873,1.925,0.025,0.05,0.005,0.05,0.02,0.727,0.0072,2.5,7.27,1.929,170,1034,0.1073,0.82,1.687,6.51,1.883,0.357,0.457,129.26,992.8,2.29,5.76,5.09,28.09,0.034,0.72,0.163,0.801,29.093,0.6878,0.361,0.0031,0.083,0.025,0.0236,0.045,0.046,0.0016,30.84,1.244,1.926,0.297,1.17,0.211,0.046,0.024,0.205,0.12,0.021,0.063,0.008,0.055,0.009,0.016,0.001,0.01,0.005,0.335,0.005,0.0411,0.114
585181W,237468,444397,7.55,96,56.08,4.16,22.279,6.588,1.067,0.11,0.005,0.05,0.013,0.356,0.0005,2.5,12.94,3.035,19.1,2092,0.0069,2.23,1.293,19.59,0.337,0.044,0.089,98.63,256.4,0.218,1.02,0.889,1.899,0.005,0.23,0.178,1.523,118.949,0.2033,0.138,0.0015,0.062,0.025,0.0219,0.01,0.0381,0.0042,9.53,0.144,0.205,0.036,0.136,0.026,0.005,0.004,0.03,0.026,0.005,0.019,0.003,0.025,0.005,0.005,0.001,0.01,0.005,0.217,0.005,0.0128,0.171
585182W,232513,447490,6.54,309,59.74,13.98,41.329,21.864,3.177,0.2,0.005,0.05,0.055,0.714,0.0268,2.5,23.94,4.949,127.9,2952,0.0175,7.38,2.94,21.73,1.58,0.589,1.378,149.79,735,0.745,2.29,2.55,7.815,0.005,0.33,0.173,2.722,168.788,0.7132,0.452,0.0125,0.154,0.025,0.0123,0.031,0.0747,0.0065,96.18,0.338,0.682,0.095,0.368,0.084,0.021,0.014,0.101,0.094,0.021,0.072,0.011,0.079,0.014,0.022,0.001,0.01,0.005,0.045,0.005,0.1045,0.215
585184W,251635,454364,7.47,142,31.7,13.07,21.168,5.355,0.226,0.09,0.005,0.05,0.005,0.477,0.0143,2.5,13.48,2.685,131,1109,0.0075,2.09,1.054,12.75,2.058,0.362,0.413,117.88,1238.1,0.392,1.2,2.256,2.147,0.035,0.35,0.197,1.242,79.183,2.3977,0.681,0.0042,0.07,0.025,0.012,0.01,0.035,0.0025,30.1,3.114,4.353,0.82,3.272,0.622,0.134,0.076,0.622,0.371,0.068,0.21,0.027,0.183,0.033,0.024,0.001,0.01,0.005,0.156,0.005,0.1145,0.485
585185W,258778,447291,6.97,156,37.8,18.19,18.082,6.001,0.376,0.09,0.005,0.05,0.041,0.522,0.0114,2.5,10.49,2.949,182.4,1704,0.0476,2.19,2.529,14.19,3.757,0.73,0.777,61.12,1157.5,1.432,3.09,7.211,4.007,0.012,0.82,0.25,1.768,72.867,1.1621,0.287,0.0103,0.08,0.025,0.0251,0.029,0.0459,0.0043,7.34,0.923,1.536,0.256,0.984,0.195,0.049,0.03,0.236,0.178,0.035,0.108,0.014,0.083,0.014,0.014,0.001,0.01,0.005,0.228,0.005,0.0299,0.045
585186W,256078,449156,7.34,160,18.41,21.94,24.611,9.343,1.004,0.12,0.005,0.05,0.038,0.741,0.0099,2.5,13.92,3.785,178.4,1825,0.0757,3.36,2.722,15.03,3.518,0.53,0.707,86.13,1224.1,1.934,4.1,7.538,9.511,0.005,1.02,0.201,1.734,84.892,1.2247,0.331,0.0089,0.088,0.025,0.0588,0.01,0.0536,0.0043,8.54,1.118,1.705,0.284,1.092,0.204,0.055,0.03,0.241,0.18,0.034,0.109,0.013,0.078,0.013,0.014,0.001,0.01,0.005,0.311,0.005,0.0263,0.066
585187W,248609,453822,7.43,127,30.11,14.56,20.795,3.764,0.204,0.08,0.005,0.05,0.005,0.465,0.0104,2.5,12.38,2.31,107.1,827,0.0059,1.62,1.207,9.78,1.576,0.59,0.24,242.04,1424.6,0.586,1.06,1.029,2.218,0.005,0.28,0.135,1.191,59.464,1.1777,0.393,0.0031,0.054,0.025,0.0112,0.01,0.0255,0.0033,21.41,1.287,2.096,0.331,1.254,0.24,0.054,0.032,0.257,0.174,0.033,0.104,0.013,0.097,0.018,0.015,0.001,0.01,0.005,0.102,0.005,0.0575,0.195
585189W,248989,449267,7.18,296,152.4,14.34,31.956,19.921,3.462,0.14,0.005,0.05,0.051,0.97,0.0087,2.5,20.96,6.663,110.7,2531,0.0417,8.33,3.666,32.23,2.728,0.577,0.54,107.18,625.2,0.732,4.27,4.577,4.057,0.005,1.03,0.198,2.146,157.154,0.4851,0.515,0.0095,0.131,0.025,0.0279,0.022,0.0612,0.003,10.05,0.525,0.712,0.139,0.527,0.101,0.027,0.014,0.11,0.075,0.015,0.045,0.006,0.043,0.007,0.021,0.001,0.01,0.005,0.174,0.005,0.0466,0.216
585190W,236736,445879,7.38,106,29.26,7.54,17.069,3.535,0.588,0.07,0.012,0.05,0.005,0.296,0.003,2.5,9.64,2.266,80.2,1670,0.005,1.35,0.777,9.17,1.268,0.201,0.161,42.74,564.6,0.136,0.59,1.093,1.697,0.005,0.19,0.15,0.832,45.435,0.4658,0.252,0.0017,0.045,0.025,0.004,0.01,0.0192,0.0017,10.85,0.414,0.641,0.099,0.393,0.075,0.016,0.012,0.09,0.065,0.013,0.043,0.006,0.04,0.007,0.005,0.001,0.01,0.005,0.099,0.005,0.0364,0.086
585192W,246242,455367,7.22,152,202.39,14.1,28.267,4.488,0.025,0.12,0.005,0.05,0.005,0.415,0.013,2.5,15.69,2.791,227.5,2075,0.0308,1.87,1.777,8.54,3.812,0.602,0.57,92.66,1337.1,0.649,1.21,1.954,8.077,0.018,0.39,0.255,1.485,55.726,0.7599,0.446,0.0076,0.108,0.025,0.0215,0.027,0.0438,0.0024,32.74,0.49,1.127,0.152,0.621,0.143,0.045,0.022,0.161,0.127,0.024,0.078,0.01,0.073,0.012,0.058,0.001,0.01,0.005,0.218,0.005,0.065,0.069
585193W,245133,454733,6.79,238,59.74,7.83,32.683,10.234,2.362,0.1,0.005,0.05,0.023,0.34,0.0124,2.5,17.47,4.079,95.1,1778,0.0331,3.3,2.653,19.11,1.623,0.552,0.423,59.59,500.5,0.981,1.82,3.994,3.458,0.005,0.4,0.492,1.979,130.621,0.8231,0.374,0.0057,0.125,0.025,0.03,0.01,0.0884,0.0029,61.42,0.596,1.071,0.178,0.727,0.162,0.035,0.023,0.189,0.133,0.025,0.084,0.012,0.074,0.013,0.051,0.001,0.01,0.014,0.109,0.005,0.0353,0.078
585194W,258502,444881,6.8,104,0,29.14,17.327,3.947,0.025,0.06,0.005,0.05,0.049,0.483,0.0113,2.5,10.51,1.6,239.5,605,0.1169,1.77,0.755,3.47,4.567,0.718,0.609,78.99,2745.9,2.737,1.87,1.987,51.042,0.028,0.61,0.115,0.446,18.601,1.3225,0.267,0.0089,0.035,0.025,0.032,0.033,0.0495,0.0039,64.51,1.086,2.67,0.286,1.115,0.223,0.055,0.033,0.259,0.188,0.035,0.104,0.013,0.08,0.013,0.036,0.001,0.01,0.005,0.72,0.027,0.0293,0.019
585195W,245952,454500,7.65,198,41.45,13.39,26.762,7.243,0.589,0.09,0.005,0.05,0.028,0.481,0.0109,2.5,14.48,3.19,101.3,1794,0.0226,2.6,2.063,16.4,1.787,0.28,0.33,71.99,1099.1,0.496,1.55,2.179,3.07,0.005,0.36,0.266,1.814,96.84,1.0893,0.466,0.0046,0.099,0.025,0.0167,0.01,0.0399,0.0038,34.75,1.114,1.656,0.291,1.119,0.215,0.049,0.029,0.235,0.163,0.031,0.098,0.014,0.093,0.017,0.034,0.001,0.01,0.005,0.184,0.005,0.0615,0.287
585197W,234753,445299,5.13,58,0,12.76,14.229,2.676,0.263,0.03,0.005,0.05,0.005,0.125,0.0045,2.5,8.22,1.01,271.2,1227,0.0049,0.77,0.563,0.54,2.411,0.188,0.13,32.75,352.3,0.354,0.25,0.512,1.292,0.023,0.23,0.157,0.84,8.641,0.2229,0.125,0.0039,0.015,0.025,0.005,0.092,0.0183,0.0078,13.05,0.083,0.21,0.026,0.1,0.029,0.006,0.006,0.04,0.037,0.007,0.022,0.003,0.018,0.003,0.014,0.001,0.01,0.014,0.359,0.005,0.015,0.017
585198W,251395,449704,7.3,273,76.81,11.75,31.992,19.483,3.533,0.13,0.005,0.05,0.032,0.843,0.0095,2.5,18.14,5.546,119.5,3387,0.0278,7.16,3.294,26.36,2.012,0.504,0.538,134.07,620.8,1.523,4.8,4.366,4.584,0.005,0.6,0.32,2.182,131.435,0.6858,0.656,0.0099,0.096,0.025,0.0305,0.01,0.0569,0.0046,12.3,0.861,1.26,0.219,0.859,0.16,0.039,0.02,0.162,0.107,0.02,0.065,0.009,0.057,0.01,0.037,0.001,0.01,0.005,0.1,0.005,0.0554,0.202
585199W,234552,447590,5.4,93,0,14.15,19.705,3.044,0.025,0.05,0.005,0.05,0.005,0.259,0.0071,2.5,11.52,1.504,319.5,1518,0.0038,1.19,0.815,1.07,2.896,0.305,0.15,25.88,516.8,0.305,0.35,0.746,2.527,0.024,0.2,0.158,0.97,12.896,0.2631,0.211,0.0047,0.015,0.025,0.0105,0.028,0.0235,0.0046,12.45,0.082,0.218,0.027,0.107,0.036,0.011,0.008,0.053,0.048,0.009,0.026,0.003,0.019,0.003,0.016,0.001,0.01,0.005,0.424,0.005,0.019,0.02
585200W,237642,441638,7.32,70,0,8.4,12.843,1.68,0.025,0.07,0.005,0.05,0.005,0.125,0.0056,2.5,8.02,1.634,89.6,1053,0.0055,0.95,0.451,5.69,0.987,0.103,0.169,66.32,475.5,0.355,1.11,1.142,2.32,0.005,0.32,0.117,0.724,35.957,0.4118,0.206,0.002,0.034,0.025,0.0085,0.01,0.0183,0.0005,3.53,0.337,0.507,0.086,0.312,0.061,0.015,0.009,0.068,0.056,0.011,0.045,0.007,0.061,0.01,0.015,0.001,0.01,0.005,0.147,0.005,0.0351,0.087
585201W,248597,286310,7.98,479,213.36,3.6,23.181,40.742,16.772,0.07,0.005,0.05,0.049,2.272,0.0037,2.5,13.39,11.111,5.8,4631,0.0228,14.48,3.439,85.75,0.205,0.174,0.136,35.16,43.8,0.132,1.43,0.72,0.312,0.005,0.32,0.114,0.957,327.397,0.0694,0.17,0.0097,0.184,0.025,0.0106,0.052,0.0623,0.0023,120.09,0.016,0.022,0.005,0.005,0.006,0.001,0.001,0.008,0.009,0.001,0.007,0.001,0.008,0.002,0.085,0.001,0.01,0.005,0.01,0.005,0.0207,0.612
585202W,318570,311132,8.02,223,67.06,0.53,11.656,4.943,4.843,0.03,0.005,0.05,0.01,0.413,0.001,2.5,8.92,2.595,6,6823,0.0014,1.84,0.446,37.05,0.085,0.612,0.51,0.1,0.5,0.011,0.05,0.104,1.003,0.005,0.25,0.093,0.841,81.35,0.011,0.01,0.0048,0.206,0.025,0.0243,0.048,0.0285,0.0143,0.78,0.003,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.015,0.001,0.01,0.005,0.01,0.005,0.0072,0.142
585203W,314967,311053,7.8,112,39.75,1.24,10.609,4.471,1.886,0.02,0.047,0.05,0.005,0.325,0.0018,2.5,8.27,4.187,12.3,4796,0.004,1.48,0.591,12.13,0.025,0.255,0.147,0.5,7.4,0.015,0.11,0.204,0.476,0.005,0.1,0.05,0.678,22.838,0.0342,0.01,0.0043,0.047,0.025,0.0033,0.044,0.0296,0.0029,1.21,0.016,0.012,0.003,0.005,0.003,0.001,0.001,0.004,0.004,0.001,0.004,0.001,0.003,0.001,0.018,0.001,0.01,0.005,0.01,0.005,0.0066,0.069
585204W,321570,309083,7.89,604,317,0.98,27.669,22.96,25.145,0.1,0.063,0.05,0.08,2.405,0.0021,22,16.97,11.536,0.5,7330,0.0037,8.42,2.272,121.23,0.102,0.361,0.336,3.23,4,0.045,0.26,0.128,0.33,0.005,0.16,0.468,0.569,432.972,0.0263,0.024,0.0058,0.234,0.025,0.0056,0.044,0.0343,0.0052,11.25,0.004,0.005,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.02,0.001,0.01,0.005,0.01,0.005,0.0078,0.6
585206W,264619,288110,7.49,126,37.67,9.12,12.121,7.366,5.554,0.04,0.005,0.05,0.069,1.143,0.0221,2.5,7.96,4.454,60.9,3104,0.057,2.85,3.147,14.25,1.549,0.554,0.361,24.32,177.5,0.186,1.26,1.622,0.964,0.01,0.52,0.107,1.401,62.547,0.3824,0.347,0.0128,0.093,0.025,0.0032,0.055,0.0782,0.0026,50.9,0.257,0.32,0.085,0.361,0.087,0.019,0.012,0.083,0.061,0.013,0.036,0.005,0.032,0.006,0.033,0.001,0.01,0.005,0.051,0.005,0.0296,0.031
585207W,260498,288659,7.03,138,35.36,4.83,12.638,3.924,7.274,0.11,0.005,0.05,0.063,0.303,0.0224,2.5,6.29,3.257,49.6,3133,0.0105,1.32,1.304,15.49,0.534,0.299,0.336,6.38,24.1,0.107,1.47,1.75,0.298,0.005,0.28,0.105,0.513,49.099,0.335,0.327,0.0089,0.049,0.025,0.0075,0.037,0.0522,0.0005,144.81,0.218,0.224,0.07,0.287,0.068,0.016,0.01,0.068,0.055,0.011,0.032,0.004,0.027,0.005,0.023,0.001,0.01,0.005,0.01,0.005,0.014,0.02
585208W,266317,288779,7.45,232,96.32,11.28,14.222,11.674,3.13,0.11,0.005,0.11,0.061,1.305,0.0339,2.5,10.27,6.814,69.7,3547,0.1347,4.47,5.862,29.1,2.263,0.928,0.5,113.63,449.4,0.444,2.1,2.276,1.894,0.014,0.76,0.143,3.111,106.229,0.4534,0.666,0.0185,0.278,0.025,0.007,0.053,0.1048,0.0065,63.25,0.272,0.439,0.081,0.314,0.077,0.02,0.013,0.086,0.071,0.015,0.042,0.007,0.041,0.007,0.035,0.001,0.01,0.005,0.065,0.005,0.0348,0.148
